page|121
项目|附注|2021 年度|2020 年度
一、营业总收入||2,901,247,267.90|2,455,134,253.83
其中：营业收入||2,901,247,267.90|2,455,134,253.83
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,559,692,903.73|2,768,418,331.76
其中：营业成本||2,803,780,513.35|2,244,681,511.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||4,186,688.93|2,683,334.07
销售费用||281,407,235.12|186,666,375.42
管理费用||160,232,570.92|121,987,377.70
研发费用||325,832,950.50|245,537,659.89
财务费用||-15,747,055.09|-33,137,926.41
其中：利息费用||8,787,249.21|58,965.98
利息收入||28,848,472.48|33,202,059.87
加：其他收益||9,865,857.25|19,039,298.01
投资收益（损失以“－”号填列）||-4,773,045.92|14,500,096.47
其中：对联营企业和合营企业的投资收益||-6,016,309.94|-35,772.61
以摊余成本计量的金融资产终止确认收益|||5,763,333.33
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-4,360,404.79|-3,060,000.00
信用减值损失（损失以“-”号填列）||8,438,685.65|-52,845,056.57
page|122
资产减值损失（损失以“-”号填列）||30,050.74|-83,642.77
资产处置收益（损失以“－”号填列）||13,084,222.80|3,513,769.34
三、营业利润（亏损以“－”号填列）||-636,160,270.10|-332,219,613.45
加：营业外收入||201,393.11|3,374,123.18
减：营业外支出||2,503,810.36|9,719,004.21
四、利润总额（亏损总额以“－”号填列）||-638,462,687.35|-338,564,494.48
减：所得税费用||-886,577.57|4,139,209.49
五、净利润（净亏损以“－”号填列）||-637,576,109.78|-342,703,703.97
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-637,576,109.78|-342,703,703.97
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-633,261,161.23|-342,758,792.23
2.少数股东损益（净亏损以“-”号填列）||-4,314,948.55|55,088.26
六、其他综合收益的税后净额||1,641,607.35|1,250,819.23
（一）归属母公司所有者的其他综合收益的税后净额||1,641,607.35|1,250,819.23
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||1,641,607.35|1,250,819.23
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||1,641,607.35|1,250,819.23
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-635,934,502.43|-341,452,884.74
（一）归属于母公司所有者的综合||-631,619,553.88|-341,507,973.00
page|123
收益总额|||
（二）归属于少数股东的综合收益总额||-4,314,948.55|55,088.26
八、每股收益：|||
（一）基本每股收益(元/股)||-1.50|-0.82
（二）稀释每股收益(元/股)||-1.50|-0.82
