page|60
项         目|附注|2019 年度  合并|2018 年度  合并|2019 年度 公司|2018 年度 公司
一、营业收入|四(37)、十四|29,173,636,262|28,249,339,672|27,013,530,410|26,307,575,652
减：营业成本|四(37)、四(43)、十四(4)|(24,530,857,150)|(24,409,546,754)|(23,558,653,135)|(23,374,456,759)
税金及附加|四(38)|(744,695,131)|(687,132,627)|(715,214,044)|(671,353,146)
销售费用|四(39)、四(43)|(1,525,883,194)|(1,202,382,122)|(220,785,082)|(166,272,927)
管理费用|四(40)、四(43)|(955,566,805)|(796,704,897)|(776,697,100)|(611,773,000)
研发费用|四(41)、四(43)|(1,776,320,646)|(1,663,554,384)|(1,610,563,277)|(1,530,912,805)
财务费用|四(42)|189,506,963|163,666,538|241,659,728|190,240,847
其中：利息费用||(2,903,955)|(217,269)|(2,727,224)|(217,269)
利息收入||203,950,159|188,436,361|250,902,581|210,692,732
加：其他收益|四(46)|246,880,334|152,601,306|18,046,849|8,876,812
投资收益|四(47)、十四|39,121,245|13,228,800|38,814,164|13,228,800
其中：对联营企业和合营企业的投资收益|(5)|822,880|2,237,684|822,880|2,237,684
公允价值变动收益|四(48)|(1,524,631)|9,472,200|(1,524,631)|9,472,200
信用减值损失|四(45)|(131,701,073)|(1,088,509)|(111,193,097)|(838,474)
资产减值损失|四(44)|(92,395,494)|(60,793,891)|(86,284,181)|(58,994,584)
资产处置收益|四(49)|(794,016)|34,628,611|(1,959,962)|35,059,558
二、营业利润||(110,593,336)|(198,266,057)|229,176,642|149,852,174
加：营业外收入|四(50)|222,840,220|248,127,231|222,016,703|247,544,592
减：营业外支出|四(51)|(7,261,457)|(10,221,387)|(6,723,923)|(9,791,303)
三、利润总额||104,985,427|39,639,787|444,469,422|387,605,463
减：  所得税费用|四(52)|42,826,651|52,193,559|33,775,220|51,284,983
四、净利润||147,812,078|91,833,346|478,244,642|438,890,446
按经营持续性分类|||||
持续经营净利润||147,812,078|91,833,346|478,244,642|438,890,446
终止经营净利润||-|-|-|-
按所有权归属分类|||||
少数股东损益||-|-|-|-
归属于母公司股东的净利润||147,812,078|91,833,346|478,244,642|438,890,446
五、其他综合收益的税后净额|||||
归属于母公司股东的其他综合收益的税后净额|||||
不能重分类进损益的其他综合收益|||||
重新计量设定受益计划变动额|四(34)|(1,217,250)|(3,442,500)|(1,221,000)|(3,567,750)
归属于少数股东的其他综合收益的税后净额||-|-|-|-
六、综合收益总额||146,594,828|88,390,846|477,023,642|435,322,696
归属于母公司股东的综合收益总额||146,594,828|88,390,846|477,023,642|435,322,696
归属于少数股东的综合收益总额||-|-|-|-
七、每股收益|||||
基本每股收益(人民币元)|四(53)|0.17|0.11|——|——
稀释每股收益(人民币元)|四(53)|0.17|0.11|——|——
