page|79
项目|附注|2021 年度|2020 年度
一、营业总收入||1,725,442,589.47|1,584,189,787.74
其中：营业收入||1,725,442,589.47|1,584,189,787.74
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,581,097,155.06|1,326,614,387.53
其中：营业成本||1,012,525,301.40|911,846,032.86
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||14,212,746.54|16,144,499.98
销售费用||384,636,062.52|286,187,657.09
管理费用||96,905,397.26|64,499,709.74
研发费用||62,512,659.90|44,040,502.86
财务费用||10,304,987.44|3,895,985.00
其中：利息费用||11,473,871.32|3,026,904.80
利息收入||4,490,827.41|625,561.26
加：其他收益||42,448,646.74|25,730,933.11
投资收益（损失以“－”号填列）||3,030,825.39|2,416,591.20
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
page|80
项目|附注|2021 年度|2020 年度
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-608,653.14|108,980.20
信用减值损失（损失以“-”号填列）||-409,027,463.73|-16,661,138.85
资产减值损失（损失以“-”号填列）||-1,864,482.86|305,852.88
资产处置收益（损失以“－”号填列）||-78,431.43|135,111.10
三、营业利润（亏损以“－”号填列）||-221,754,124.62|269,611,729.85
加：营业外收入||523,733.81|1,015,785.99
减：营业外支出||3,731,697.20|1,263,485.31
四、利润总额（亏损总额以“－”号填列）||-224,962,088.01|269,364,030.53
减：所得税费用||-63,074,596.99|49,810,892.39
五、净利润（净亏损以“－”号填列）||-161,887,491.02|219,553,138.14
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-161,887,491.02|219,553,138.14
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-161,887,491.02|219,553,138.14
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
page|81
项目|附注|2021 年度|2020 年度
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-161,887,491.02|219,553,138.14
（一）归属于母公司所有者的综合收益总额||-161,887,491.02|219,553,138.14
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||-0.50|0.69
（二）稀释每股收益(元/股)||-0.50|0.69
