page|103
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||13,949,579,745.08|10,165,511,334.41
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||249,298,048.15|132,074,672.82
收到其他与经营活动有关的现金|（六十二）|1,360,755,361.74|861,814,330.93
经营活动现金流入小计||15,559,633,154.97|11,159,400,338.16
购买商品、接受劳务支付的现金||11,894,604,801.16|8,227,855,524.79
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||2,062,040,241.69|1,777,898,982.42
支付的各项税费||362,181,577.87|328,953,477.82
支付其他与经营活动有关的现金|（六十二）|1,073,561,334.94|715,538,538.01
经营活动现金流出小计||15,392,387,955.66|11,050,246,523.04
经营活动产生的现金流量净额||167,245,199.31|109,153,815.12
二、投资活动产生的现金流量|||
收回投资收到的现金||1,077,308,104.65|495,000,000.00
取得投资收益收到的现金||20,257,237.44|11,048,878.11
处置固定资产、无形资产和其他长期资产收回的现金净额||3,217,057.50|210,015,797.22
处置子公司及其他营业单位收到的现金净额||207,733,179.70|11,001,979.39
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,308,515,579.29|727,066,654.72
购建固定资产、无形资产和其他长期资产支付的现金||1,510,018,807.79|743,842,412.05
投资支付的现金||1,441,688,332.53|955,590,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（六十二）|54,732,143.03|125,379,381.10
投资活动现金流出小计||3,006,439,283.35|1,824,811,793.15
投资活动产生的现金流量净额||-1,697,923,704.06|-1,097,745,138.43
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||8,209,478,434.07|5,805,694,852.64
收到其他与筹资活动有关的现金|（六十二）|1,529,679,225.56|50,000,000.00
筹资活动现金流入小计||9,739,157,659.63|5,855,694,852.64
偿还债务支付的现金||6,863,426,759.41|3,692,867,660.44
分配股利、利润或偿付利息支付的现金||557,470,030.78|370,549,681.62
其中：子公司支付给少数股东的股利、利润||24,523,783.84|13,141,450.12
支付其他与筹资活动有关的现金|（六十二）|193,361,802.11|201,340,065.06
筹资活动现金流出小计||7,614,258,592.30|4,264,757,407.12
筹资活动产生的现金流量净额||2,124,899,067.33|1,590,937,445.52
四、汇率变动对现金及现金等价物的影响||-13,337,468.44|-6,035,445.79
五、现金及现金等价物净增加额||580,883,094.14|596,310,676.42
加：期初现金及现金等价物余额||3,818,084,281.42|3,221,773,605.00
六、期末现金及现金等价物余额||4,398,967,375.56|3,818,084,281.42
