page|101
项目|附注五|本期金额|上期金额
一、营业总收入||14,446,088,072.53|10,843,784,576.71
其中：营业收入|（四十六）|14,446,088,072.53|10,843,784,576.71
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||13,840,598,345.63|10,278,010,419.54
其中：营业成本|（四十六）|11,178,561,915.40|8,169,123,797.46
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十七）|124,052,079.24|74,125,242.07
销售费用|（四十八）|492,846,634.60|490,627,552.30
管理费用|（四十九）|727,985,857.48|587,422,110.46
研发费用|（五十）|1,002,004,702.27|849,138,654.98
财务费用|（五十一）|315,147,156.64|107,573,062.27
其中：利息费用||324,860,029.31|142,666,988.47
利息收入||44,496,187.38|36,592,430.39
加：其他收益|（五十二）|559,720,793.93|599,921,753.43
投资收益（损失以“-”号填列）|（五十三）|95,097,729.34|8,827,041.99
其中：对联营企业和合营企业的投资收益||51,166,623.97|10,463,411.16
以摊余成本计量的金融资产终止确认收益||-6,636,987.70|-16,485,645.87
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十四）|-92,968,235.45|279,371,153.85
信用减值损失（损失以“-”号填列）|（五十五）|-77,590,569.16|-30,818,930.87
资产减值损失（损失以“-”号填列）|（五十六）|-44,127,691.74|-76,174,647.54
资产处置收益（损失以“-”号填列）|（五十七）|521,340.16|159,137.94
三、营业利润（亏损以“-”号填列）||1,046,143,093.98|1,347,059,665.97
加：营业外收入|（五十八）|2,874,160.24|14,621,814.51
减：营业外支出|（五十九）|4,973,978.29|11,400,182.44
四、利润总额（亏损总额以“-”号填列）||1,044,043,275.93|1,350,281,298.04
减：所得税费用|（六十）|69,457,786.08|184,417,419.63
五、净利润（净亏损以“-”号填列）||974,585,489.85|1,165,863,878.41
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||974,585,489.85|1,165,863,878.41
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||927,860,457.31|1,114,993,660.75
2．少数股东损益（净亏损以“-”号填列）||46,725,032.54|50,870,217.66
六、其他综合收益的税后净额|（四十二）|49,562,039.94|394,191,425.30
归属于母公司所有者的其他综合收益的税后净额||50,785,209.17|375,061,437.80
（一）不能重分类进损益的其他综合收益||66,831,968.00|8,850,541.00
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||66,831,968.00|8,850,541.00
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-16,046,758.83|366,210,896.80
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动||737,859.43|-253,487.64
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-16,784,618.26|-600,646.33
7．其他|||367,065,030.77
归属于少数股东的其他综合收益的税后净额||-1,223,169.23|19,129,987.50
七、综合收益总额||1,024,147,529.79|1,560,055,303.71
归属于母公司所有者的综合收益总额||978,645,666.48|1,490,055,098.55
归属于少数股东的综合收益总额||45,501,863.31|70,000,205.16
八、每股收益：|（六十一）||
（一）基本每股收益（元/股）||0.317|0.380
（二）稀释每股收益（元/股）||0.317|0.380
