page|47
|主要是上年发行无固定期限资本债券，本期无此业务所致。||
|||单位：百万元人民币
||比上年|
项目|2020 年||主要原因
||增幅(%)|
经营活动产生的现金净流入|156,863|34.1|
其中：客户存款增加现金流入|504,563|20.8|各项存款增加
同业业务（注）增加现金净流入|71,487|42.0|同业往来增加
贷款及垫款增加现金流出|(551,929)|25.4|各项贷款增加
向中央银行借款减少现金流出|(13,808)|(69.2)|偿还央行借款减少
投资活动产生的现金净流出|(218,249)|(13.8)|
|||出售及兑付金融投资规模
其中：收回投资现金流入|2,570,954|32.5|
|||增加
支付投资现金流出|(2,783,341)|27.1|金融投资规模增加
筹资活动产生的现金净流入|45,972|(54.3)|
其中：发行债务凭证现金流入|807,022|37.7|发行同业存单增加
发行其他权益工具收到的现金流入|-|(100.0)|上年发行无固定期限债券
偿还债务凭证现金流出|(720,194)|47.9|偿还到期同业存单增加
