page|92
项目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||626,700,803.27|541,182,043.72
收到的税费返还||-|178,992.39
收到其他与经营活动有关的现金|注释 47|15,914,019.09|98,157,756.46
经营活动现金流入小计||642,614,822.36|639,518,792.57
购买商品、接受劳务支付的现金||29,415,703.13|17,130,808.00
支付给职工以及为职工支付的现金||56,029,724.53|56,344,562.73
支付的各项税费||210,717,796.59|49,664,076.92
支付其他与经营活动有关的现金|注释 47|132,184,363.93|144,165,218.61
经营活动现金流出小计||428,347,588.18|267,304,666.26
经营活动产生的现金流量净额||214,267,234.18|372,214,126.31
二、投资活动产生的现金流量：|||
收回投资所收到的现金||-|9,000,000.00
取得投资收益收到的现金||-|-
处置固定资产、无形资产和其他长期资产收回的现金净额||146,365.00|177,195.96
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||146,365.00|9,177,195.96
购建固定资产、无形资产和其他长期资产支付的现金||3,931,762.92|541,508.24
投资支付的现金||-|2,402,160.00
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||3,931,762.92|2,943,668.24
投资活动产生的现金流量净额||-3,785,397.92|6,233,527.72
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||380,000,000.00|300,000,000.00
收到其他与筹资活动有关的现金|注释 47|197,300,000.00|1,400,000.00
筹资活动现金流入小计||577,300,000.00|301,400,000.00
偿还债务支付的现金||490,180,000.00|422,000,000.00
分配股利、利润或偿付利息支付的现金||65,276,157.50|93,369,881.18
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|注释 47|365,043,714.19|4,608,450.00
筹资活动现金流出小计||920,499,871.69|519,978,331.18
筹资活动产生的现金流量净额||-343,199,871.69|-218,578,331.18
四、汇率变动对现金及现金等价物的影响||-83,471.31|-244,575.31
五、现金及现金等价物净增加额||-132,801,506.74|159,624,747.54
加：期初现金及现金等价物余额||227,081,862.89|67,457,115.35
六、期末现金及现金等价物余额|注释 48|94,280,356.15|227,081,862.89
