page|91
项目|附注六|本期金额|上期金额
一、营业收入|注释 33|567,554,915.80|570,162,656.45
减：营业成本|注释 33|137,713,685.25|155,796,350.75
税金及附加|注释 34|90,399,912.10|116,578,186.92
销售费用|注释 35|26,889,978.57|20,473,633.74
管理费用|注释 36|75,640,327.04|91,559,122.78
研发费用||-|-
财务费用|注释 37|79,967,393.97|97,267,942.17
其中：利息费用||80,209,716.74|98,178,739.05
利息收入||1,049,551.82|981,878.79
加：其他收益|注释 38|356,706.39|2,339,992.01
投资收益（损失以“-”号填列）|注释 39|10,935,529.15|28,563,760.27
其中：对联营企业和合营企业的投资收益||10,935,529.15|32,387,345.64
以摊余成本计量的金融资产终止确认收益||-|-
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“-”号填列）|注释 40|-30,000,000.00|-2,620,373.12
信用减值损失（损失以“-”号填列）|注释 41|-6,634,848.25|-1,132,918.95
资产减值损失（损失以“-”号填列）|注释 42|-|-3,723,779.83
资产处置收益（损失以“-”号填列）|注释 43|110,156.99|176,024.02
二、营业利润（亏损以“-”号填列）||131,711,163.15|112,090,124.49
加：营业外收入|注释 44|22,037,863.50|35,112,976.40
减：营业外支出|注释 45|19,361,222.34|977,043.64
三、利润总额（亏损总额以“-”号填列）||134,387,804.31|146,226,057.25
减：所得税费用|注释 46|51,575,070.68|30,817,876.23
四、净利润（净亏损以“-”号填列）||82,812,733.63|115,408,181.02
其中：同一控制下企业合并被合并方在合并前实现的净利润||-|-
（一）按经营持续性分类|||
持续经营净利润（净亏损以“-”号填列）||82,812,733.63|115,408,181.02
终止经营净利润（净亏损以“-”号填列）||-|-
（二）按所有权归属分类|||
归属于母公司所有者的净利润（净亏损以“-”号填列）||64,269,140.42|107,337,965.92
少数股东损益（净亏损以“-”号填列）||18,543,593.21|8,070,215.10
五、其他综合收益的税后净额||-44,679,924.30|152,952,623.85
归属于母公司所有者的其他综合收益的税后净额||-44,163,603.77|142,404,837.85
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||-44,163,603.77|142,404,837.85
1.外币财务报表折算差额||26,496.00|81,555.63
2.其他资产转换为公允价值模式计量的投资性房地产||-44,190,099.77|142,323,282.22
归属于少数股东的其他综合收益的税后净额||-516,320.53|10,547,786.00
六、综合收益总额||38,132,809.33|268,360,804.87
归属于母公司所有者的综合收益总额||20,105,536.65|249,742,803.77
归属于少数股东的综合收益总额||18,027,272.68|18,618,001.10
七、每股收益：|||
（一）基本每股收益||0.0857|0.1431
（二）稀释每股收益||0.0857|0.1431
