page|71
项目|附注|本期发生额|上期发生额|项目|附注|本期发生额|上期发生额
一、营业收入|六、36|21,449,125,613.44|20,674,232,949.58|六、其他综合收益的税后净额|六、50|542,047,602.58|-199,262,449.47
二、营业总成本||17,159,502,824.83|14,900,562,302.42|归属母公司所有者的其他综合收益的税后净额||250,834,726.12|-322,620,037.80
其中：营业成本|六、36|13,940,651,152.26|11,461,707,459.84|（一）不能重分类进损益的其他综合收益||11,113,377.93|-290,842,809.41
税金及附加|六、37|1,458,272,576.19|1,831,549,800.27|1、重新计量设定受益计划变动额|||
销售费用|六、38|752,844,200.47|705,449,120.11|2、权益法下不能转损益的其他综合收益|||
管理费用|六、39|776,144,373.98|693,681,327.57|3、其他权益工具投资公允价值变动||11,113,377.93|-290,842,809.41
研发费用||||4、企业自身信用风险公允价值变动|||
财务费用|六、40|231,590,521.93|208,174,594.63|（二）将重分类进损益的其他综合收益||239,721,348.19|-31,777,228.39
其中：利息费用||346,103,600.05|288,466,147.44|1、权益法下可转损益的其他综合收益|||
利息收入||202,951,370.71|125,005,129.65|2、其他债权投资公允价值变动|||
加：其他收益|六、41|2,976,146.22||3、可供出售金融资产公允价值变动|||
投资收益（损失以“－”号填列）|六、43|111,375,368.24|78,740,387.40|4、金融资产重分类计入其他综合收益的金额|||
其中：对联营企业和合营企业的投资收益||144,899,459.86|58,076,628.83|5、持有至到期投资重分类为可供出售金融资产损益|||
以摊余成本计量的金融资产终于确认收益（损失以“－”号填列）||||6、其他债权投资信用减值准备|||
净敞口套期收益（损失以“－”号填列）||||7、现金流量套期储备（现金流量套期损益的有效部分）|||
公允价值变动收益（损失以“－”号填列）|六、42|1,018,000,000.00|899,294,778.21|8、外币财务报表折算差额||7,355,912.90|3,077,028.44
信用减值损失（损失以“－”号填列）|六、45|-63,533,531.23||9、其他||232,365,435.29|-34,854,256.83
资产减值损失（损失以“－”号填列）|六、44||77,854,352.08||||
资产处置收益（损失以“-”号填列）|六、46|16,288.16|-2,805,596.67|归属于少数股东的其他综合收益的税后净额||291,212,876.46|123,357,588.33
三、营业利润（亏损以“－”号填列）||5,358,457,060.00|6,826,754,568.18||||
加：营业外收入|六、47|58,006,942.45|43,843,634.69|七、综合收益总额|||
减：营业外支出|六、48|66,967,064.53|228,192,177.44|归属于母公司所有者的综合收益总额||2,680,379,990.95|2,081,187,171.48
四、利润总额（亏损总额以“－”号填列）||5,349,496,937.92|6,642,406,025.43|归属于少数股东的综合收益总额||1,703,080,995.65|2,445,727,775.01
减：所得税费用|六、49|1,508,083,553.90|1,916,228,629.47||||
五、净利润（净亏损以“－”号填列）||3,841,413,384.02|4,726,177,395.96|八、每股收益：|||
（一）按经营持续性分类：||||（一）基本每股收益（元/股）||0.65|0.64
1、持续经营净利润（净亏损以“－”号填列）||3,841,413,384.02|4,726,177,395.96|（二）稀释每股收益（元/股）||0.65|0.64
2、终止经营净利润（净亏损以“－”号填列）|||||||
（二）按所有权归属分类：|||||||
1、归属于母公司所有者的净利润（净亏损以“－”号填列）||2,429,545,264.83|2,403,807,209.28||||
1、少数股东损益（净亏损以“－”号填列）||1,411,868,119.19|2,322,370,186.68||||
