page|105
|2021 年度                                                                                                          人民币元||
|附注五|2021年|2020年
一、 经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||36,289,324,913.52|21,309,057,549.53
收到其他与经营活动有关的现金|56|5,568,924,528.13|1,795,347,327.18
经营活动现金流入小计||41,858,249,441.65|23,104,404,876.71
购买商品、接受劳务支付的现金||37,414,202,748.96|35,934,739,432.57
支付给职工以及为职工支付的|||
现金||646,939,939.17|468,209,475.18
支付的各项税费||3,247,537,535.23|2,838,318,716.29
支付其他与经营活动有关的现金|56|5,001,564,911.02|2,603,154,927.01
经营活动现金流出小计||46,310,245,134.38|41,844,422,551.05
经营活动产生的现金流量净额|57|(    4,451,995,692.73 )|(18,740,017,674.34 )
二、 投资活动产生的现金流量|||
收回投资所收到的现金||3,880,123,370.43|4,784,755,420.32
取得投资收益收到的现金||399,157,308.41|452,484,220.09
处置固定资产、无形资产和其他长期|||
资产收回的现金净额||387,414.91|717,383.12
取得子公司收到的现金净额||778,588,924.62|520,182,841.17
投资活动现金流入小计||5,058,257,018.37|5,758,139,864.70
购建固定资产、无形资产和其他长期|||
资产支付的现金||74,060,288.93|26,988,090.06
投资支付的现金||8,826,629,201.59|6,675,672,472.74
处置子公司支付的现金净额||317,735,545.41|582,120,772.29
支付其他与投资活动有关的现金|56|-|12,262,493.13
投资活动现金流出小计||9,218,425,035.93|7,297,043,828.22
page|106
三、 筹资活动产生的现金流量|||
吸收投资收到的现金||3,337,073,470.91|2,635,524,296.23
其中：子公司吸收少数股东投资|||
收到的现金||3,337,073,470.91|2,635,524,296.23
取得借款所收到的现金||44,173,430,827.68|46,290,575,408.27
收到其他与筹资活动有关的现金|56|3,061,559,632.65|1,429,675,526.79
筹资活动现金流入小计||50,572,063,931.24|50,355,775,231.29
偿还债务支付的现金||31,848,779,134.98|22,838,431,905.00
分配股利、利润或偿付利息支付的|||
现金||4,234,108,899.70|2,986,626,426.97
其中：子公司支付给少数股东的|||
股利、利润||102,069,382.50|279,046,000.00
支付其他与筹资活动有关的现金|56|4,015,565,669.90|1,690,697,269.94
筹资活动现金流出小计||40,098,453,704.58|27,515,755,601.91
筹资活动产生的现金流量净额||10,473,610,226.66|22,840,019,629.38
四、 现金及现金等价物净增加额|57|1,861,446,516.37|2,561,097,991.52
加：年初现金及现金等价物余额|57|8,900,108,738.30|6,339,010,746.78
五、 年末现金及现金等价物余额|57|10,761,555,254.67|8,900,108,738.30
