page|67
项目|附注|2020 年度|2019 年度
一、营业总收入|七、61|715,666,807.59|740,963,155.21
其中：营业收入|七、61|715,666,807.59|740,963,155.21
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||678,644,712.69|700,665,224.79
其中：营业成本|七、61|384,116,247.09|393,621,427.25
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|8,681,723.31|7,905,132.08
销售费用|七、63|191,257,511.71|202,150,504.43
管理费用|七、64|71,205,718.81|67,217,999.22
研发费用|七、65|23,195,129.87|29,138,014.27
财务费用|七、66|188,381.90|632,147.54
其中：利息费用|||
利息收入|七、66|1,102,020.75|793,629.09
加：其他收益|七、67|8,113,481.74|3,820,240.59
投资收益（损失以“－”号填列）|七、68|13,492,193.85|14,344,043.87
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
page|68
信用减值损失（损失以“-”号填列）|七、71|1,671,983.93|-2,727,212.60
资产减值损失（损失以“-”号填列）|七、72|-1,000,033.21|-513,411.68
资产处置收益（损失以“－”号填列）|七、73|-15,877.16|266.91
三、营业利润（亏损以“－”号填列）||59,283,844.05|55,221,857.51
加：营业外收入|七、74|11,180,012.38|11,325,023.17
减：营业外支出|七、75|843,791.33|614,229.51
四、利润总额（亏损总额以“－”号填列）||69,620,065.10|65,932,651.17
减：所得税费用|七、76|11,195,251.80|10,254,864.98
五、净利润（净亏损以“－”号填列）||58,424,813.30|55,677,786.19
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||58,424,813.30|55,677,786.19
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||58,424,813.30|55,677,786.19
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|七、77|13,767,027.59|-
（一）归属母公司所有者的其他综合收益的税后净额|七、77|13,767,027.59|
1．不能重分类进损益的其他综合收益|七、77|13,767,027.59|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|七、77|13,767,027.59|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
page|69
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||72,191,840.89|55,677,786.19
（一）归属于母公司所有者的综合收益总额||72,191,840.89|55,677,786.19
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.14|0.13
（二）稀释每股收益(元/股)||0.14|0.13
