page|6
公司的中文名称|科兴生物制药股份有限公司
公司的中文简称|科兴制药
公司的外文名称|Shandong Kexing Bioproducts Co,.Ltd
公司的外文名称缩写|SDKX
公司的法定代表人|邓学勤
公司注册地址|山东省济南市章丘区埠村街道创业路2666号
公司注册地址的历史变更情况|2014年6月26日，由“山东省章丘市明水开发区唐王山路”变更为“山东省章丘市明水开发区创业路2666号”； 2017年6月23日，由“山东省章丘市明水开发区创业路2666号”变更为“山东省济南市章丘区明水开发区创业路2666号”； 2017年8月17日，由“山东省济南市章丘区明水开发区创业路2666号”变更为“山东省济南市章丘区明水开发区创业路2666号(生产地一明水开发区创业路2666号,生产地二刁镇化工工业园、圣泉东路以东)” 2022年2月25日，由“山东省济南市章丘区明水开发区创业路2666号(生产地一明水开发区创业路2666号,生产地二刁镇化工工业园、圣泉东路以东)”变更为“山东省济南市章丘区埠村街道创业路2666号”。
公司办公地址|山东省济南市章丘区埠村街道创业路2666号 深圳市南山区高新中一道与科技中一路交汇处创益科技大厦
公司办公地址的邮政编码|250200 518000
公司网址|www.kexing.com
电子信箱|ir@kexing.com
