page|101
项目|附注五|本期金额|上期金额
一、营业总收入||4,781,798,712.79|4,283,784,463.40
其中：营业收入|（四十一）|4,781,798,712.79|4,283,784,463.40
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,344,651,892.09|3,735,453,131.01
其中：营业成本|（四十一）|3,056,168,848.40|2,609,938,566.07
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十二）|54,488,167.96|35,174,369.13
销售费用|（四十三）|11,458,924.65|65,716,932.62
管理费用|（四十四）|831,049,990.05|790,292,957.31
研发费用|（四十五）|262,761,333.36|218,379,894.49
财务费用|（四十六）|128,724,627.67|15,950,411.39
其中：利息费用|（四十六）|78,639,436.52|77,829,865.46
利息收入|（四十六）|14,592,748.17|25,751,472.14
加：其他收益|（四十七）|47,877,274.79|27,404,403.00
投资收益（损失以“-”号填列）|（四十八）|28,970,613.32|-12,499,570.00
其中：对联营企业和合营企业的投资收益|（四十八）|10,350,565.95|5,060,468.20
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十九）|2,979,809.46|-639,261.23
信用减值损失（损失以“-”号填列）|（五十）|2,763,265.31|-1,124,656.90
资产减值损失（损失以“-”号填列）|（五十一）|-295,445,860.35|-218,848,724.08
资产处置收益（损失以“-”号填列）|（五十二）|-2,005,437.86|-4,950,378.74
三、营业利润（亏损以“-”号填列）||222,286,485.37|337,673,144.44
加：营业外收入|（五十三）|13,530,653.66|4,648,442.03
减：营业外支出|（五十四）|26,461,910.13|32,037,458.56
四、利润总额（亏损总额以“-”号填列）||209,355,228.90|310,284,127.91
减：所得税费用|（五十五）|75,766,394.68|114,301,095.07
五、净利润（净亏损以“-”号填列）||133,588,834.22|195,983,032.84
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||133,588,834.22|195,983,032.84
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||110,031,914.36|144,254,905.49
2．少数股东损益（净亏损以“-”号填列）||23,556,919.86|51,728,127.35
六、其他综合收益的税后净额||3,817,578.31|23,566,845.21
归属于母公司所有者的其他综合收益的税后净额||3,817,578.31|23,566,845.21
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||3,817,578.31|23,566,845.21
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||3,817,578.31|23,566,845.21
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||137,406,412.53|219,549,878.05
归属于母公司所有者的综合收益总额||113,849,492.67|167,821,750.70
归属于少数股东的综合收益总额||23,556,919.86|51,728,127.35
八、每股收益：|||
（一）基本每股收益（元/股）||0.12|0.16
（二）稀释每股收益（元/股）||0.12|0.16
