page|76
项目|附 注|2021 年度|2020 年度
一、营业总收入||1,853,177,459.77|1,724,266,490.43
其中：营业收入||1,853,177,459.77|1,724,266,490.43
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,850,300,749.77|1,581,418,719.14
其中：营业成本||1,147,980,422.90|918,330,992.07
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||10,697,021.67|12,624,492.63
销售费用||282,531,482.95|273,987,441.34
管理费用||134,145,910.06|122,653,394.55
研发费用||271,128,167.13|262,196,904.01
财务费用||3,817,745.06|-8,374,505.46
其中：利息费用||18,194,238.96|16,039,514.49
page|77
利息收入||9,838,053.25|7,741,942.81
加：其他收益||18,709,094.26|31,145,488.79
投资收益（损失以“－”号填列）||-13,252,633.56|-11,299,327.06
其中：对联营企业和合营企业的投资收益||-15,256,808.34|-10,814,966.62
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-426,706,901.18|-16,301,085.37
资产减值损失（损失以“-”号填列）||-410,970,028.18|-3,844,708.35
资产处置收益（损失以“－”号填列）||-101,703.81|100,015.18
三、营业利润（亏损以“－”号填列）||-829,445,462.47|142,648,154.48
加：营业外收入||1,405,343.88|1,425,583.16
减：营业外支出||1,182,808.15|800,478.40
四、利润总额（亏损总额以“－”号填列）||-829,222,926.74|143,273,259.24
减：所得税费用||-18,023,712.57|7,287,489.92
五、净利润（净亏损以“－”号填列）||-811,199,214.17|135,985,769.32
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-811,199,214.17|135,985,769.32
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-809,913,593.94|138,148,088.07
2.少数股东损益（净亏损以“-”号填列）||-1,285,620.23|-2,162,318.75
六、其他综合收益的税后净额||-6,034,954.83|-15,489,973.92
（一）归属母公司所有者的其他综合收益的税后净额||-6,034,954.83|-15,489,973.92
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-6,034,954.83|-15,489,973.92
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-6,034,954.83|-15,489,973.92
（7）其他|||
（二）归属于少数股东的其他综合收益的税后|||
净额 七、综合收益总额||-817,234,169.00|120,495,795.40
page|78
（一）归属于母公司所有者的综合收益总额||-815,948,548.77|122,658,114.15
（二）归属于少数股东的综合收益总额||-1,285,620.23|-2,162,318.75
八、每股收益：|||
（一）基本每股收益(元/股)||-1.92|0.33
（二）稀释每股收益(元/股)||-1.92|0.33
