page|94
项目|附注|2020 年度|2019 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,573,554,607.12|2,866,135,747.37
收到的税费返还||20,657,209.72|13,034,540.62
收到其他与经营活动有关的现金|七、78|78,633,904.97|50,901,874.06
经营活动现金流入小计||3,672,845,721.81|2,930,072,162.05
购买商品、接受劳务支付的现金||1,598,471,418.14|1,578,516,283.16
支付给职工及为职工支付的现金||825,826,845.36|902,327,557.43
支付的各项税费||220,467,585.12|234,293,434.32
支付其他与经营活动有关的现金|七、78|326,472,143.12|354,737,292.32
经营活动现金流出小计||2,971,237,991.74|3,069,874,567.23
经营活动产生的现金流量净额||701,607,730.07|-139,802,405.18
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,279,400,000.00|2,573,596,981.92
取得投资收益收到的现金||108,547,748.58|115,392,421.29
处置固定资产、无形资产和其他长期资产收回的现金净额||1,316,438.25|356,271.45
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||-|
投资活动现金流入小计||3,389,264,186.83|2,689,345,674.66
购建固定资产、无形资产和其他长期资产支付的现金||204,137,111.49|557,960,747.98
投资支付的现金||2,436,400,000.00|2,410,300,000.00
取得子公司及其他营业单位支付的现金净额||147,510,576.36|-
支付其他与投资活动有关的现金|七、78|-|500,000.00
投资活动现金流出小计||2,788,047,687.85|2,968,760,747.98
投资活动产生的现金流量净额||601,216,498.98|-279,415,073.32
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|9,964,405.67
page|95
其中：子公司吸收少数股东投资收到的现金|||9,964,405.67
取得借款收到的现金||3,867,478,779.58|4,356,940,905.41
收到其他与筹资活动有关的现金|七、78|65,860,247.16|
筹资活动现金流入小计||3,933,339,026.74|4,366,905,311.08
偿还债务支付的现金||4,729,203,817.68|3,010,996,823.18
分配股利、利润或偿付利息支付的现金||289,099,135.13|209,787,791.10
其中：子公司支付给少数股东的股利、利润||3,600,000.00|6,000,000.00
支付其他与筹资活动有关的现金|七、78|-|384,287,043.37
筹资活动现金流出小计||5,018,302,952.81|3,605,071,657.65
筹资活动产生的现金流量净额||-1,084,963,926.07|761,833,653.43
四、汇率变动对现金及现金等价物的影响||-17,676,941.77|-21,332,446.96
五、现金及现金等价物净增加额||200,183,361.21|321,283,727.97
加：期初现金及现金等价物余额||822,787,973.46|501,504,245.49
六、期末现金及现金等价物余额||1,022,971,334.67|822,787,973.46
