page|118
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||17,799,535,792.90|18,192,094,941.86
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||139,560,707.16|111,524,647.67
收到其他与经营活动有关的现金||463,722,656.23|230,119,636.13
经营活动现金流入小计||18,402,819,156.29|18,533,739,225.66
购买商品、接受劳务支付的现金||13,578,331,652.82|12,501,937,616.59
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
page|119
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,272,404,297.34|998,516,124.20
支付的各项税费||832,293,611.23|989,753,705.24
支付其他与经营活动有关的现金||836,969,710.29|853,555,423.91
经营活动现金流出小计||16,519,999,271.68|15,343,762,869.94
经营活动产生的现金流量净额||1,882,819,884.61|3,189,976,355.72
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,862,826.05|10,681,433.28
取得投资收益收到的现金||86,133,399.56|97,425,041.01
处置固定资产、无形资产和其他长期资产收回的现金净额||20,463,998.59|11,071,380.25
处置子公司及其他营业单位收到的现金净额|||710,274,602.76
收到其他与投资活动有关的现金||11,566,889,168.00|7,540,830,572.16
投资活动现金流入小计||11,675,349,392.20|8,370,283,029.46
购建固定资产、无形资产和其他长期资产支付的现金||1,757,428,333.14|1,053,484,817.06
投资支付的现金||50,750,000.00|256,768,200.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||349,309,764.66
支付其他与投资活动有关的现金||11,575,520,803.42|8,964,926,211.21
投资活动现金流出小计||13,383,699,136.56|10,624,488,992.93
投资活动产生的现金流量净额||-1,708,349,744.36|-2,254,205,963.47
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,300,000.00|
其中：子公司吸收少数股东投资收到的现金||4,300,000.00|
取得借款收到的现金||94,600,000.00|393,044,211.17
收到其他与筹资活动有关的现金|||198,568,746.06
筹资活动现金流入小计||98,900,000.00|591,612,957.23
偿还债务支付的现金||163,168,111.17|811,998,572.65
分配股利、利润或偿付利息支付的现金||417,329,881.87|229,444,474.19
其中：子公司支付给少数股东的股利、利润||2,450,000.00|
支付其他与筹资活动有关的现金||278,047,624.14|
筹资活动现金流出小计||858,545,617.18|1,041,443,046.84
筹资活动产生的现金流量净额||-759,645,617.18|-449,830,089.61
四、汇率变动对现金及现金等价物的影响||20,916,223.64|33,544,136.10
五、现金及现金等价物净增加额||-564,259,253.29|519,484,438.74
加：期初现金及现金等价物余额||2,284,441,614.04|1,764,957,175.30
六、期末现金及现金等价物余额||1,720,182,360.75|2,284,441,614.04
