page|114
|项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||||
货币资金||七、1|3,569,533,025.07|4,061,443,927.02
结算备付金||||
拆出资金||||
交易性金融资产||七、2|2,684,402,348.18|
|以公允价值计量且其变动计入当期损益的金|||
||||789,359.82
融资产||||
衍生金融资产||||
应收票据||||
应收账款||七、5|1,195,791,323.15|1,397,407,066.14
应收款项融资||||
预付款项||七、7|163,210,619.30|165,065,879.54
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款||七、8|453,282,167.00|450,153,982.03
其中：应收利息||||122,391.12
应收股利||||
买入返售金融资产||||
存货||七、9|61,534,835.95|61,482,734.48
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产||七、12|500,399,480.17|2,667,768,240.88
流动资产合计|||8,628,153,798.82|8,804,111,189.91
非流动资产：||||
发放贷款和垫款||||
债权投资||||
可供出售金融资产||||489,054,000.00
page|115
||YTO EXPRESS GROUP  ·  ANNUAL REPORT 2019|
其他债权投资|||
持有至到期投资|||
长期应收款|七、15|49,675,936.32|41,440,630.57
长期股权投资|七、16|312,103,519.51|311,231,682.83
其他权益工具投资|七、17|489,054,000.00|
其他非流动金融资产|||
投资性房地产|七、19|439,188,835.34|435,951,294.77
固定资产|七、20|7,218,212,030.84|5,313,140,846.95
在建工程|七、21|897,288,582.49|586,554,928.32
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、25|3,089,077,963.06|2,350,553,663.80
开发支出|七、26|2,565,216.11|939,705.31
商誉|七、27|425,905,595.10|732,118,402.03
长期待摊费用|七、28|412,756,420.63|419,749,290.47
递延所得税资产|七、29|58,169,884.90|31,672,860.92
其他非流动资产|七、30|138,820,675.52|452,016,486.06
非流动资产合计||13,532,818,659.82|11,164,423,792.03
资产总计||22,160,972,458.64|19,968,534,981.94
流动负债：|||
短期借款|七、31|54,357,974.67|165,637,867.90
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金|||
融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、35|3,492,002,835.86|2,372,936,709.81
预收款项|七、36|1,180,914,839.03|1,144,102,091.56
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
page|116
圆通速递  ·  2019 年度报告|||
应付职工薪酬|七、37|173,484,463.72|217,702,433.24
应交税费|七、38|210,585,655.00|383,573,948.37
其他应付款|七、39|527,937,944.52|530,845,797.05
其中：应付利息|||2,219,304.27
应付股利||602,685.04|815,939.30
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、41|3,325,326.25|151,722.79
其他流动负债|||
流动负债合计||5,642,609,039.05|4,814,950,570.72
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|七、44|3,017,147,421.89|2,982,418,538.31
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、46|45,783,082.56|21,533,082.56
长期应付职工薪酬|七、47|3,093,437.38|2,208,509.41
预计负债|七、48|359,473.83|347,710.33
递延收益|七、49|129,957,655.80|78,647,575.90
递延所得税负债|七、29|9,079,755.43|9,754,564.49
其他非流动负债|七、50|92,005,688.42|264,754,894.24
非流动负债合计||3,297,426,515.31|3,359,664,875.24
负债合计||8,940,035,554.36|8,174,615,445.96
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|394,368,284.00|380,085,141.00
其他权益工具|七、52|630,834,271.47|650,463,660.88
其中：优先股|||
永续债|||
资本公积|七、53|6,116,444,826.98|5,996,532,289.22
减：库存股|七、54|51,980,424.42|63,881,156.50
其他综合收益|七、55|18,501,955.01|-6,145,917.25
