page|129
项目|附注|2019年度|2018年度 （经重述）
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||154,713,104|155,374,091
收到的税费返还||137,660|24,204
收到其他与经营活动有关的现金|62（1）|1,263,078|1,852,484
经营活动现金流入小计||156,113,842|157,250,779
购买商品、接受劳务支付的现金||126,270,533|126,023,473
支付给职工及为职工支付的现金||8,651,111|7,312,776
支付的各项税费||4,802,207|5,308,338
支付其他与经营活动有关的现金|62（2）|3,813,129|5,406,802
经营活动现金流出小计||143,536,980|144,051,389
经营活动产生的现金流量净额|63（1）|12,576,862|13,199,390
二、投资活动产生的现金流量：|||
收回投资收到的现金||367,867|228,816
取得投资收益收到的现金||336,638|437,897
处置固定资产、无形资产和其他长期资产收回的现金净额||1,138,603|564,791
处置子公司及其他营业单位收到的现金净额||23,797|6,558
取得子公司及其他营业单位收到的现金净额||-|255,650
收到其他与投资活动有关的现金|62（3）|60,672|72,706
投资活动现金流入小计||1,927,577|1,566,418
购建固定资产、无形资产和其他长期资产支付的现金||9,091,382|6,852,758
投资支付的现金||6,203,244|356,300
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金|62（4）|128,625|53,779
投资活动现金流出小计||15,423,251|7,262,837
投资活动产生的现金流量净额||-13,495,674|-5,696,419
page|130
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||711,114|907,506
其中：子公司吸收少数股东投资收到的现金||711,114|837,621
发行其他权益工具收到的现金||1,500,000|2,000,000
取得借款收到的现金||47,591,057|79,222,696
发行债券收到的现金||37,974,402|13,285,840
收到其他与筹资活动有关的现金|62（5）|-|1,312,015
筹资活动现金流入小计||87,776,573|96,728,057
同一控制下企业合并支付的对价||237|373,495
偿还债务支付的现金||90,113,293|99,894,950
分配股利、利润或偿付利息支付的现金||4,690,733|5,772,765
其中：子公司支付给少数股东的股利、利润||222,930|327,645
购买少数股东股权||-|3,765
偿还其他权益工具支付的现金||-|2,417,758
其他权益工具派息支付的现金||352,648|410,548
支付其他与筹资活动有关的现金|62（6）|3,093,697|4,135,382
筹资活动现金流出小计||98,250,608|113,008,663
筹资活动产生的现金流量净额||-10,474,035|-16,280,606
四、汇率变动对现金及现金等价物的影响||21,202|57,364
五、现金及现金等价物净增加额|63（1）|-11,371,645|-8,720,271
加：期初现金及现金等价物余额||19,130,835|27,851,106
六、期末现金及现金等价物余额|63（4）|7,759,190|19,130,835
