page|126
项目|附注|2019 年度|2018 年度 （经重述）
一、营业总收入|七、47|190,074,161|180,241,414
其中：营业收入|七、47|190,074,161|180,241,414
二、营业总成本||188,012,067|176,255,073
其中：营业成本|七、47|176,256,075|164,309,718
税金及附加|七、48|1,431,017|1,409,099
销售费用|七、49|1,673,139|2,496,933
管理费用|七、50|2,990,756|2,928,061
研发费用||940,828|626,873
财务费用|七、51|4,720,252|4,484,389
其中：利息费用||4,923,495|4,890,385
利息收入||261,151|492,234
加：其他收益||78,633|75,882
投资收益（损失以“－”号填列）|七、52|1,160,706|739,988
其中：对联营企业和合营企业的投资收益|七、52|318,882|-160,117
公允价值变动收益（损失以“－”号填列）|七、53|-9,851|100,967
信用减值损失（损失以“-”号填列）|七、54|-169,751|-107,956
资产减值损失（损失以“-”号填列）|七、55|-1,424,162|-2,511,025
资产处置收益（损失以“－”号填列）|七、56|259,684|101,098
三、营业利润（亏损以“－”号填列）||1,957,353|2,385,295
加：营业外收入|七、57|408,398|361,506
减：营业外支出|七、58|251,950|355,471
四、利润总额（亏损总额以“－”号填列）||2,113,801|2,391,330
减：所得税费用|七、60|625,720|822,519
五、净利润（净亏损以“－”号填列）||1,488,081|1,568,811
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,488,081|1,568,811
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||850,999|831,213
2.少数股东损益（净亏损以“-”号填列）||637,082|737,598
page|127
六、其他综合收益的税后净额|七、42|10,850|-132,478
（一）归属母公司所有者的其他综合收益的税后净额||10,600|-131,839
1．不能重分类进损益的其他综合收益||42,923|-11,083
（1）其他权益工具投资公允价值变动||42,923|-11,083
2．将重分类进损益的其他综合收益||-32,323|-120,756
（1）外币财务报表折算差额||-32,323|-120,756
（二）归属于少数股东的其他综合收益的税后净额||250|-639
七、综合收益总额||1,498,931|1,436,333
（一）归属于母公司所有者的综合收益总额||861,599|699,374
（二）归属于少数股东的综合收益总额||637,332|736,959
八、每股收益：|||
（一）基本每股收益(元/股)|七、61|0.037|0.042
（二）稀释每股收益(元/股)|七、61|0.037|0.042
