page|85
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|25,863,099,019.68|22,082,716,460.56
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|2|5,488,912,271.67|2,668,187,445.20
应收账款|3|16,052,251,718.79|14,811,827,638.69
应收款项融资|4|2,034,069,338.48|
预付款项|5|6,713,962,171.03|8,473,874,899.35
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|6|10,422,990,875.84|9,596,046,730.89
其中：应收利息|||
应收股利||14,307,138.51|11,863,946.55
买入返售金融资产|||
存货|7|53,314,518,441.30|53,458,921,007.51
合同资产|8|19,608,098,966.27|18,235,459,448.24
持有待售资产|||
一年内到期的非流动资产|9|862,767,637.31|956,802,086.19
其他流动资产|10|4,139,614,733.27|3,755,370,890.34
流动资产合计||144,500,285,173.64|134,039,206,606.97
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|11|14,134,150,374.50|15,606,247,562.66
长期股权投资|12|26,394,017,495.55|20,810,283,694.07
其他权益工具投资|13|1,141,384,876.80|970,177,145.28
其他非流动金融资产|14|6,488,116,910.82|5,375,588,446.33
投资性房地产|15|170,734,626.29|194,127,937.66
固定资产|16|18,159,788,969.75|17,053,769,945.53
在建工程|17|1,464,000,681.46|24,249,852,146.02
生产性生物资产|||
油气资产|||
使用权资产|18|476,587,280.39|651,363,811.00
无形资产|19|40,701,732,176.82|12,254,891,906.47
开发支出|20|119,364,992.44|192,234,969.87
商誉|21|1,895,833,717.83|1,539,598,450.11
长期待摊费用|22|504,014,593.66|424,711,158.61
page|86
递延所得税资产|23|1,051,749,683.61|838,954,644.13
其他非流动资产|24|2,202,942,553.93|262,364,209.03
非流动资产合计||114,904,418,933.85|100,424,166,026.77
资产总计||259,404,704,107.49|234,463,372,633.74
流动负债：|||
短期借款|25|18,318,168,325.82|17,193,582,132.84
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|26|5,479,136,739.76|6,896,860,218.99
应付账款|27|41,340,088,463.94|37,379,719,843.98
预收款项|||
合同负债|28|22,347,812,988.68|20,994,388,985.65
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|29|271,419,690.12|280,258,503.79
应交税费|30|4,035,358,521.61|2,903,157,677.77
其他应付款|31|20,751,542,144.14|21,748,778,601.17
其中：应付利息||715,545,603.78|1,394,019,080.65
应付股利||560,959,457.84|481,314,603.58
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|32|14,332,901,451.75|5,065,596,064.20
其他流动负债|33|4,449,829,775.74|7,071,158.02
流动负债合计||131,326,258,101.56|112,469,413,186.41
非流动负债：|||
保险合同准备金|||
长期借款|34|40,702,492,257.92|39,284,312,089.44
应付债券|35|4,000,000,000.00|12,400,000,000.00
其中：优先股|||
永续债|||
租赁负债|36|214,775,737.26|368,558,662.22
长期应付款|37|48,374,909.08|15,970,505.41
长期应付职工薪酬|38|2,081,520,000.00|2,232,163,400.00
预计负债|39|40,973,326.02|44,703,828.76
递延收益|40|266,571,770.63|267,413,476.75
递延所得税负债|23|1,257,421,650.48|1,054,660,387.09
其他非流动负债|41|124,582,014.15|94,675,825.82
非流动负债合计||48,736,711,665.54|55,762,458,175.49
负债合计||180,062,969,767.10|168,231,871,361.90
所有者权益（或股东权益）：|||
实收资本（或股本）|42|4,604,777,412.00|4,604,777,412.00
其他权益工具|43|28,500,000,000.00|21,500,000,000.00
其中：优先股|||
page|87
永续债||28,500,000,000.00|21,500,000,000.00
资本公积|44|7,730,330,997.55|7,615,101,441.65
减：库存股|||
其他综合收益|45|-326,590,826.08|-191,375,410.14
专项储备|46|169,262,578.95|98,341,095.32
盈余公积|47|2,403,221,827.56|1,652,127,077.28
一般风险准备|||
未分配利润|48|19,129,433,160.37|17,255,150,152.67
归属于母公司所有者权益（或股东权益）合计||62,210,435,150.35|52,534,121,768.78
少数股东权益||17,131,299,190.04|13,697,379,503.06
所有者权益（或股东权益）合计||79,341,734,340.39|66,231,501,271.84
负债和所有者权益（或股东权益）总计||259,404,704,107.49|234,463,372,633.74
