page|89
项目|附注七|2020 年度|2019 年度
一、营业总收入||112,611,172,877.22|109,945,696,867.36
其中：营业收入|49|112,611,172,877.22|109,945,696,867.36
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||105,150,788,996.43|104,712,575,770.49
其中：营业成本|49|92,621,788,062.68|91,941,725,516.55
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|50|1,155,226,685.25|1,149,162,558.63
销售费用|51|1,045,226,481.80|1,380,083,783.41
管理费用|52|4,689,662,276.64|4,687,208,935.58
研发费用|53|3,353,680,482.41|2,789,157,724.31
财务费用|54|2,285,205,007.65|2,765,237,252.01
其中：利息费用||2,188,098,981.60|2,895,796,192.41
利息收入||195,786,915.35|314,509,414.31
加：其他收益|55|597,951,694.86|1,126,998,773.88
投资收益（损失以“－”号填列）|56|248,387,030.00|3,237,836,151.65
其中：对联营企业和合营企业的投资收益||227,691,738.77|806,662,212.19
以摊余成本计量的金融资产终止确认收益||-58,889,969.82|
汇兑收益（损失以“－”号填|||
page|90
列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|57|546,042,965.77|44,373,957.58
信用减值损失（损失以“-”号填列）|58|-870,601,093.95|-715,855,357.50
资产减值损失（损失以“-”号填列）|59|-143,599,472.17|-123,553,335.30
资产处置收益（损失以“－”号填列）|60|86,755,391.61|-25,084,161.93
三、营业利润（亏损以“－”号填列）||7,925,320,396.91|8,777,837,125.25
加：营业外收入|61|69,732,976.24|57,470,220.02
减：营业外支出|62|302,838,640.48|47,417,095.43
四、利润总额（亏损总额以“－”号填列）||7,692,214,732.67|8,787,890,249.84
减：所得税费用|63|2,398,768,416.62|2,224,280,760.82
五、净利润（净亏损以“－”号填列）||5,293,446,316.05|6,563,609,489.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||5,293,446,316.05|6,563,609,489.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||4,282,298,034.25|5,441,781,311.03
2.少数股东损益（净亏损以“-”号填列）||1,011,148,281.80|1,121,828,177.99
六、其他综合收益的税后净额||-144,374,975.56|178,934,563.49
（一）归属母公司所有者的其他综合收益的税后净额||-135,215,415.94|181,393,489.12
1．不能重分类进损益的其他综合收益||253,186,403.79|267,455,975.27
（1）重新计量设定受益计划变动额||107,687,804.00|37,634,688.00
（2）权益法下不能转损益的其他综合收益||-27,972.00|-18,298.35
（3）其他权益工具投资公允价值变动||145,526,571.79|229,839,585.62
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-388,401,819.73|-86,062,486.15
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
page|91
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-388,401,819.73|-86,062,486.15
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-9,159,559.62|-2,458,925.63
七、综合收益总额||5,149,071,340.49|6,742,544,052.51
（一）归属于母公司所有者的综合收益总额||4,147,082,618.31|5,623,174,800.15
（二）归属于少数股东的综合收益总额||1,001,988,722.18|1,119,369,252.36
八、每股收益：|||
（一）基本每股收益(元/股)||0.726|1.034
（二）稀释每股收益(元/股)||0.726|1.034
