page|74
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||451,819,384.40|441,014,021.13
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||14,087,910.18|9,307,589.96
经营活动现金流入小计||465,907,294.58|450,321,611.09
购买商品、接受劳务支付的现金||223,257,526.03|307,144,332.05
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||45,452,898.21|35,213,533.89
支付的各项税费||35,693,085.85|21,525,326.81
支付其他与经营活动有关的现金||44,485,690.61|35,915,824.57
经营活动现金流出小计||348,889,200.70|399,799,017.32
经营活动产生的现金流量净额||117,018,093.88|50,522,593.77
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||5,311,420.09|7,037,335.31
处置固定资产、无形资产和其他长期资产收回的现金净额||127,226.22|148,591.84
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||140,000,000.00|
投资活动现金流入小计||145,438,646.31|7,185,927.15
购建固定资产、无形资产和其他长期资||45,221,107.90|31,366,205.79
page|75
产支付的现金|||
投资支付的现金||135,000,000.00|50,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||70,000,000.00
投资活动现金流出小计||180,221,107.90|151,366,205.79
投资活动产生的现金流量净额||-34,782,461.59|-144,180,278.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||40,012,083.00|60,000,000.00
收到其他与筹资活动有关的现金||16,831,958.00|
筹资活动现金流入小计||56,844,041.00|60,000,000.00
偿还债务支付的现金||85,000,000.00|65,700,000.00
分配股利、利润或偿付利息支付的现金||42,112,366.28|21,856,549.14
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||11,605,538.60|5,229,745.21
筹资活动现金流出小计||138,717,904.88|92,786,294.35
筹资活动产生的现金流量净额||-81,873,863.88|-32,786,294.35
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||361,768.41|-126,443,979.22
加：期初现金及现金等价物余额||88,431,897.27|214,875,876.49
六、期末现金及现金等价物余额||88,793,665.68|88,431,897.27
