page|138
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
资产：|||负债：|||
货币资金|五、1|20,672,948,549.44|16,294,652,918.72 短期借款|五、21|1,341,035,510.40|1,088,103,966.00
其中：客户资金存款 五、1||16,802,693,176.72|13,818,939,396.08 应付短期融资款|五、22|6,291,137,602.74|4,486,718,063.51
结算备付金|五、2|4,693,547,293.65|3,285,660,769.03 拆入资金|五、23|100,000,000.00|100,000,000.00
其中：客户备付金|五、2|3,726,861,222.79|2,819,550,772.22 交易性金融负债|五、24|2,890,482,394.42|7,799,193,518.65
贵金属|||衍生金融负债|||
拆出资金|||卖出回购金融资产款|五、25|14,519,596,559.13|14,719,547,530.73
融出资金|五、3|16,272,958,826.42|12,309,596,128.05 代理买卖证券款|五、26|20,452,517,212.50|16,568,082,481.32
衍生金融资产|五、4||代理承销证券款|||
存出保证金|五、5|87,670,263.62|75,774,025.33 应付职工薪酬|五、27|234,294,833.68|172,099,114.24
应收款项|五、6|485,733,685.71|637,049,750.15 应交税费|五、28|325,052,408.91|188,700,795.93
应收款项融资|||应付款项|五、29|1,131,670,210.23|419,184,788.70
合同资产|||合同负债|五、30|6,207,547.17|
买入返售金融资产|五、7|7,438,436,294.36|8,071,074,462.78 持有待售负债|||
持有待售资产|||预计负债|五、31|35,000,000.00|
金融投资：|||长期借款|五、32||447,890,000.00
交易性金融资产|五、8|11,989,743,400.44|16,464,138,564.50 应付债券|五、33|12,204,209,178.84|12,202,694,751.11
债权投资|五、9|578,298,027.06|812,103,966.68 其中：优先股|||
其他债权投资|五、10|22,653,807,194.83|20,366,722,184.90永续债|||
其他权益工具投资|||租赁负债|||
长期股权投资|五、11|3,456,305,609.02|2,822,644,857.25 递延收益|||
投资性房地产|||递延所得税负债|五、16|75,475,373.49|60,084,972.69
固定资产|五、12|1,277,282,619.88|1,289,468,790.23 其他负债|五、34|78,590,867.99|70,117,312.16
在建工程|五、13|90,541,622.23|79,130,833.26 负债合计||59,685,269,699.50|58,322,417,295.04
使用权资产|||所有者权益：|||
无形资产|五、14|86,827,450.75|48,736,655.14 股本|五、35|4,363,777,891.00|3,365,447,047.00
商誉|五、15|120,876,333.75|120,876,333.75 其他权益工具|||
递延所得税资产|五、16|482,723,138.39|328,697,366.58 其中：优先股|||
其他资产|五、17|169,603,739.29|162,495,662.96永续债|||
|||资本公积|五、36|17,009,412,127.17|12,610,173,775.88
|||减：库存股|||
|||其他综合收益|五、37|-8,793,850.42|219,422,736.96
|||盈余公积|五、38|1,453,381,958.87|1,336,639,334.32
|||一般风险准备|五、39|2,979,932,469.96|2,737,808,876.53
|||未分配利润|五、40|5,061,764,572.85|4,565,132,948.64
|||归属于母公司所有者权|||
|||||30,859,475,169.43|24,834,624,719.33
|||益合计|||
|||少数股东权益|五、41|12,559,179.91|11,781,254.94
|||所有者权益合计||30,872,034,349.34|24,846,405,974.27
资产总计||90,557,304,048.84|83,168,823,269.31 负债和所有者权益总计||90,557,304,048.84|83,168,823,269.31
法定代表人：俞仕新|||主管会计工作负责人：高民和|||会计机构负责人：司开铭
