page|88
|附注|2020 年|2019 年
|||(已重述)
一、 经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,259,057,195|4,698,813,366
收到的税费返回||45,642,498|40,944,192
收到其他与经营活动有关的现金|五、49(1)|81,197,248|96,517,766
经营活动现金流入小计||3,385,896,941|4,836,275,324
购买商品、接受劳务支付的现金||1,095,500,438|1,342,960,997
支付给职工以及为职工支付的现金||529,304,037|594,680,599
支付的各项税费||704,054,796|1,127,433,460
支付其他与经营活动有关的现金|五、49(2)|551,890,997|922,347,908
经营活动现金流出小计||2,880,750,268|3,987,422,964
经营活动产生的现金流量净额|五、50(1)|505,146,673|848,852,360
二、 投资活动产生的现金流量：|||
收回投资收到的现金||135,647,402|234,632,139
取得投资收益收到的现金||1,730,511|1,809,786
处置固定资产、无形资产和其他长期资产收回的现金净额||49,200,301|6,334,375
投资活动现金流入小计||186,578,214|242,776,300
购建固定资产、无形资产和其他长期资产支付的现金||155,918,502|281,228,617
投资支付的现金||83,508,393|170,023,444
取得子公司及其他营业单位支付的现金净额|五、50(2)|89,519,789|-
投资活动现金流出小计||328,946,684|451,252,061
投资活动产生的现金流量净额||(142,368,470)|(208,475,761)
page|89
|附注|2020 年|2019 年
|||(已重述)
三、 筹资活动产生的现金流量：|||
取得借款收到的现金||987,668,379|942,134,032
筹资活动现金流入小计||987,668,379|942,134,032
偿还债务支付的现金||1,098,773,637|939,525,426
分配股利、利润或偿付利息支付的现金||531,697,065|470,955,473
支付其他与筹资活动有关的现金|五、49(3)|62,966,747|11,619,552
筹资活动现金流出小计||1,693,437,449|1,422,100,451
筹资活动产生的现金流量净额||(705,769,070)|(479,966,419)
四、 汇率变动对现金及现金等价物的影响||(1,743,498)|703,173
五、 现金及现金等价物净(减少) / 增加额 五、50(1)||(344,734,365)|161,113,353
加：年初现金及现金等价物余额||1,397,399,470|1,236,286,117
六、 年末现金及现金等价物余额|五、50(3)|1,052,665,105|1,397,399,470
