page|77
|附注|2020 年12 月 31 日|2019 年12 月 31 日|2019 年1 月 1 日
|||(已重述)|(已重述)
资产||||
流动资产：||||
货币资金|五、1|1,194,214,929|1,597,410,775|1,505,126,258
应收账款|五、2|183,853,362|265,730,156|230,711,055
应收款项融资|五、3|338,090,187|317,270,229|288,998,115
预付款项|五、4|71,296,416|67,764,156|4,682,354
其他应收款|五、5|22,428,956|24,350,228|22,815,697
存货|五、6|2,945,548,651|2,901,651,555|2,748,419,225
其他流动资产|五、7|234,118,715|269,002,321|259,602,897
流动资产合计||4,989,551,216|5,443,179,420|5,060,355,601
非流动资产：||||
长期股权投资|五、8|48,263,507|43,981,130|-
其他非流动金融资产||-|-|467,251
投资性房地产|五、9|27,057,730|29,714,586|31,572,489
固定资产|五、10|5,724,935,846|5,943,969,099|5,799,345,351
在建工程|五、11|635,495,152|567,478,833|759,296,591
生产性生物资产|五、12|192,173,536|202,425,286|209,266,373
无形资产|五、13|660,989,065|652,543,848|655,663,382
商誉|五、14|132,938,212|141,859,193|165,199,111
长期待摊费用|五、15|314,465,855|280,478,194|247,942,506
递延所得税资产|五、16|206,241,275|265,551,343|288,561,790
其他非流动资产|五、17|170,370,147|193,674,320|-
非流动资产合计||8,112,930,325|8,321,675,832|8,157,314,844
资产总计||13,102,481,541|13,764,855,252|13,217,670,445
page|78
|附注|2020 年12 月 31 日|2019 年12 月 31 日|2019 年1 月 1 日
|||(已重述)|(已重述)
负债和股东权益||||
流动负债：||||
短期借款|五、18|689,090,715|754,313,744|688,002,410
应付账款|五、19|484,347,958|570,849,779|713,641,568
预收款项|五、20|-|128,907,605|232,793,208
合同负债|五、21|135,073,280|-|-
应付职工薪酬|五、22|188,779,911|240,801,344|216,787,066
应交税费|五、23|213,412,813|375,620,295|129,280,966
其他应付款|五、24|386,105,526|456,480,389|612,334,263
其他流动负债|五、25|14,820,653|-|-
一年内到期的非流动负债|五、26|133,311,890|150,826,221|152,940,786
流动负债合计||2,244,942,746|2,677,799,377|2,745,780,267
非流动负债：||||
长期借款|五、27|200,352,968|128,892,501|156,480,662
长期应付款|五、28|86,000,000|191,000,000|225,000,000
递延收益|五、29|52,653,609|70,701,288|86,227,293
递延所得税负债|五、16|12,022,613|14,691,424|22,010,647
其他非流动负债|五、30|2,078,971|7,645,777|7,234,853
非流动负债合计||353,108,161|412,930,990|496,953,455
负债合计||2,598,050,907|3,090,730,367|3,242,733,722
page|79
|附注|2020 年12 月 31 日|2019 年12 月 31 日|2019 年1 月 1 日
|||(已重述)|(已重述)
负债和股东权益 (续)||||
股东权益：||||
股本|五、31|685,464,000|685,464,000|685,464,000
资本公积|五、32|524,968,760|642,775,360|643,680,379
其他综合收益|五、33|576,129|(4,235,583)|2,965,377
盈余公积|五、34|342,732,000|342,732,000|342,732,000
未分配利润|五、35|8,714,091,755|8,735,513,044|8,013,924,148
归属于母公司股东权益合计||10,267,832,644|10,402,248,821|9,688,765,904
少数股东权益||236,597,990|271,876,064|286,170,819
股东权益合计||10,504,430,634|10,674,124,885|9,974,936,723
负债和股东权益总计||13,102,481,541|13,764,855,252|13,217,670,445
