page|73
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||16,903,285,732.94  15,586,394,912.18
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|54(1)|227,987,931.11|119,262,556.27
经营活动现金流入小计|||17,131,273,664.05  15,705,657,468.45
购买商品、接受劳务支付的现金|||11,437,291,924.89  11,123,666,753.49
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支||1,452,866,003.37|1,055,970,664.18
page|74
付的现金|||
支付的各项税费||624,276,273.83|635,288,333.87
支付其他与经营活动有关的现金|54(2)|589,200,251.53|445,285,921.75
经营活动现金流出小计|||14,103,634,453.62  13,260,211,673.29
经营活动产生的现金流量净额|55(1)|3,027,639,210.43|2,445,445,795.16
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||157,028,103.62|133,227,427.41
处置固定资产、无形资产和其他长期资产收回的现金净额||120,713,364.70|2,287,901.35
处置子公司及其他营业单位收到的现金净额||8,352,786.00|11,050,153.57
收到其他与投资活动有关的现金|54(3)|1,225,621,912.12|1,045,334,126.44
投资活动现金流入小计||1,511,716,166.44|1,191,899,608.77
购建固定资产、无形资产和其他长期资产支付的现金||978,407,962.15|988,230,032.93
投资支付的现金||291,419.70|36,399,880.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|55(2)|446,353,327.16|1,087,994,655.58
支付其他与投资活动有关的现金|54(4)|896,927,400.00|1,328,528,500.00
投资活动现金流出小计||2,321,980,109.01|3,441,153,068.51
投资活动产生的现金流量净额|||-810,263,942.57  -2,249,253,459.74
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||29,400,000.00|4,000,000.00
其中：子公司吸收少数股东投资收到的现金||29,400,000.00|4,000,000.00
取得借款收到的现金||913,662,131.43|3,724,112,970.14
收到其他与筹资活动有关的现金||2,000,000,000.00|1,000,000,000.00
page|75
筹资活动现金流入小计||2,943,062,131.43|4,728,112,970.14
偿还债务支付的现金||3,401,125,787.78|4,218,317,795.59
分配股利、利润或偿付利息支付的现金||758,751,960.78|654,529,835.20
其中：子公司支付给少数股东的股利、利润||30,583,999.55|8,916,206.64
支付其他与筹资活动有关的现金|54（6）|84,611,905.00|15,825,591.00
筹资活动现金流出小计||4,244,489,653.56|4,888,673,221.79
筹资活动产生的现金流量净额||-1,301,427,522.13|-160,560,251.65
四、汇率变动对现金及现金等价物的影响||-5,269,094.93|896,532.81
五、现金及现金等价物净增加额|55（1）|910,678,650.80|36,528,616.58
加：期初现金及现金等价物余额|55（1）|2,968,140,505.80|2,931,611,889.22
六、期末现金及现金等价物余额|55（3）|3,878,819,156.60|2,968,140,505.80
