page|68
项目|附注七|2020 年度|2019 年度
一、营业总收入|||15,014,814,569.43  14,025,273,714.19
其中：营业收入|38||15,014,814,569.43  14,025,273,714.19
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||13,431,580,658.71  12,817,446,211.31
其中：营业成本|38||11,144,298,435.68  11,006,642,939.26
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|39|71,144,232.56|85,960,483.68
销售费用|40|1,524,664,478.97|1,092,307,483.20
管理费用|41|257,901,015.17|219,218,194.23
研发费用|42|241,743,115.06|232,189,887.13
财务费用|43|191,829,381.27|181,127,223.81
其中：利息费用||233,399,744.42|188,367,413.62
利息收入||48,659,845.43|25,191,785.30
加：其他收益|44|49,250,734.49|31,835,262.37
投资收益（损失以“－”号填列）|45|159,486,280.42|137,460,868.35
其中：对联营企业和合营企业的投资收益||6,692,987.99|-4,824,104.36
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|46|2,070,892.99|290,295.94
信用减值损失（损失以“-”号填列）|47|-104,342,186.52|-2,269,087.99
page|69
资产减值损失（损失以“-”号填列）|48|-82,085,188.67|-45,894,896.26
资产处置收益（损失以“－”号填列）|49|54,751,133.89|-600,107.37
三、营业利润（亏损以“－”号填列）||1,662,365,577.32|1,328,649,837.92
加：营业外收入|50|30,400,359.77|13,573,626.58
减：营业外支出|51|8,784,001.33|17,736,763.68
四、利润总额（亏损总额以“－”号填列）||1,683,981,935.76|1,324,486,700.82
减：所得税费用|52|301,947,769.62|215,237,828.82
五、净利润（净亏损以“－”号填列）||1,382,034,166.14|1,109,248,872.00
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,382,034,166.14|1,109,248,872.00
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,321,400,281.94|1,057,831,208.63
2.少数股东损益（净亏损以“-”号填列）||60,633,884.20|51,417,663.37
六、其他综合收益的税后净额||1,292,000.00|13,504,122.27
（一）归属母公司所有者的其他综合收益的税后净额||1,292,000.00|13,504,122.27
1．不能重分类进损益的其他综合收益||1,292,000.00|13,504,122.27
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,292,000.00|13,504,122.27
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
page|70
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,383,326,166.14|1,122,752,994.27
（一）归属于母公司所有者的综合收益总额||1,322,692,281.94|1,071,335,330.90
（二）归属于少数股东的综合收益总额||60,633,884.20|51,417,663.37
八、每股收益：|||
（一）基本每股收益(元/股)|53(1)|0.46|0.37
（二）稀释每股收益(元/股)|53(2)|0.46|0.37
