page|86
项目|附注五|本期金额|上期金额
一、营业总收入||8,679,910,968.83|8,853,422,775.58
其中：营业收入|（四十五）|8,679,910,968.83|8,853,422,775.58
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,551,245,624.82|8,508,848,488.73
其中：营业成本|（四十五）|6,839,412,732.26|6,897,204,303.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十六）|45,665,501.85|56,689,382.86
销售费用|（四十七）|493,035,930.93|427,688,504.86
管理费用|（四十八）|489,276,598.91|478,027,526.67
研发费用|（四十九）|411,881,794.27|374,844,004.28
财务费用|（五十）|271,973,066.60|274,394,767.00
其中：利息费用||308,798,179.82|313,882,428.81
利息收入||36,985,013.92|29,538,789.10
加：其他收益|（五十一）|195,359,183.41|202,222,931.53
投资收益（损失以“-”号填列）|（五十二）|216,778,702.33|1,091,447,561.81
其中：对联营企业和合营企业的投资收益||94,883,192.46|90,713,307.98
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十三）|-558,794.32|-503,743.64
信用减值损失（损失以“-”号填列）|（五十四）|-81,944,885.88|
资产减值损失（损失以“-”号填列）|（五十五）|-87,063,448.24|-136,201,582.01
资产处置收益（损失以“-”号填列）|（五十六）|1,359,949.18|35,260,974.96
三、营业利润（亏损以“-”号填列）||372,596,050.49|1,536,800,429.50
加：营业外收入|（五十七）|8,205,029.97|8,163,696.63
减：营业外支出|（五十八）|27,630,617.84|10,927,516.58
四、利润总额（亏损总额以“-”号填列）||353,170,462.62|1,534,036,609.55
减：所得税费用|（五十九）|-21,964,181.68|286,499,294.46
五、净利润（净亏损以“-”号填列）||375,134,644.30|1,247,537,315.09
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||375,134,644.30|1,247,537,315.09
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||269,808,780.07|1,115,277,702.84
2．少数股东损益（净亏损以“-”号填列）||105,325,864.23|132,259,612.25
六、其他综合收益的税后净额||205,762,453.70|-1,911,008,565.11
归属于母公司所有者的其他综合收益的税后净额||205,762,453.70|-1,911,008,565.11
（一）不能重分类进损益的其他综合收益||207,538,762.47|
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益||-11,954,868.18|
3．其他权益工具投资公允价值变动||219,493,630.65|
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-1,776,308.77|-1,911,008,565.11
1．权益法下可转损益的其他综合收益||-1,383,922.46|2,595,727.11
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||-1,913,604,292.22
4．金融资产重分类计入其他综合收益的金额||-392,386.31|
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额|||
9．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||580,897,098.00|-663,471,250.02
归属于母公司所有者的综合收益总额||475,571,233.77|-795,730,862.27
归属于少数股东的综合收益总额||105,325,864.23|132,259,612.25
八、每股收益：|（六十）||
（一）基本每股收益（元/股）||0.24|0.99
（二）稀释每股收益（元/股）||0.24|0.99
