page|72
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||906,631,509.34|1,625,303,332.11
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,685,083.64|5,501,621.60
收到其他与经营活动有关的现金||58,498,619.25|168,229,231.49
经营活动现金流入小计||970,815,212.23|1,799,034,185.20
购买商品、接受劳务支付的现金||759,981,344.98|824,138,088.82
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||123,627,340.81|149,039,818.50
支付的各项税费||38,747,687.60|46,123,812.16
支付其他与经营活动有关的现金||238,863,212.17|291,446,777.81
经营活动现金流出小计||1,161,219,585.56|1,310,748,497.29
经营活动产生的现金流量净额||-190,404,373.33|488,285,687.91
二、投资活动产生的现金流量：|||
收回投资收到的现金|||17,307,200.00
取得投资收益收到的现金||47,557,965.87|10,466,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||148,434.17|1,158,595.78
处置子公司及其他营业单位收到的现金净额||217,859,743.71|128,760,857.03
收到其他与投资活动有关的现金||20,624,371.33|987,817,463.30
投资活动现金流入小计||286,190,515.08|1,145,510,116.11
购建固定资产、无形资产和其他长期资产支付的现金||219,414,790.87|51,240,576.31
投资支付的现金||75,200,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||4,000,000.00|22,198,372.16
支付其他与投资活动有关的现金||24,696,594.99|1,410,051,203.30
投资活动现金流出小计||323,311,385.86|1,483,490,151.77
投资活动产生的现金流量净额||-37,120,870.78|-337,980,035.66
三、筹资活动产生的现金流量：|||
page|73
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||614,400,000.00|565,300,000.00
收到其他与筹资活动有关的现金||263,366,680.00|10,066,640.00
筹资活动现金流入小计||877,766,680.00|575,366,640.00
偿还债务支付的现金||648,585,112.15|765,095,400.00
分配股利、利润或偿付利息支付的现金||41,818,858.01|50,051,705.70
其中：子公司支付给少数股东的股利、利润||2,695,000.00|3,234,000.00
支付其他与筹资活动有关的现金||38,482,655.93|37,723,084.53
筹资活动现金流出小计||728,886,626.09|852,870,190.23
筹资活动产生的现金流量净额||148,880,053.91|-277,503,550.23
四、汇率变动对现金及现金等价物的影响||-1,216,789.18|956,503.88
五、现金及现金等价物净增加额||-79,861,979.38|-126,241,394.10
加：期初现金及现金等价物余额||128,384,198.66|254,625,592.76
六、期末现金及现金等价物余额||48,522,219.28|128,384,198.66
