page|68
项目|附 注|2020 年度|2019 年度
一、营业总收入||839,418,265.85|1,086,183,597.01
其中：营业收入||839,418,265.85|1,086,183,597.01
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||919,943,901.39|1,201,558,852.35
其中：营业成本||595,297,773.03|780,668,629.76
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||8,428,837.72|10,189,284.39
销售费用||123,181,321.64|233,222,643.48
管理费用||105,721,908.44|120,581,156.23
研发费用||34,208,594.22|46,427,039.43
财务费用||53,105,466.34|10,470,099.06
其中：利息费用||51,753,981.56|44,635,252.18
利息收入||1,788,852.11|39,004,987.99
加：其他收益||11,180,025.17|7,736,226.23
投资收益（损失以“－”号填列）||102,216,034.81|35,170,973.83
其中：对联营企业和合营企业的投资收益||44,485,397.35|2,682,688.93
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||14,495,347.81|-2,751,526,876.22
资产减值损失（损失以“-”号填列）||-12,091,107.00|-36,680,913.95
资产处置收益（损失以“－”号填列）||42,772.19|1,028,006.61
三、营业利润（亏损以“－”号填列）||35,317,437.44|-2,859,647,838.84
加：营业外收入||6,837,719.22|744,434.29
减：营业外支出||983,152.18|2,286,693.36
四、利润总额（亏损总额以“－”号填列）||41,172,004.48|-2,861,190,097.91
减：所得税费用||8,821,139.36|52,425,171.00
五、净利润（净亏损以“－”号填列）||32,350,865.12|-2,913,615,268.91
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||32,350,865.12|-2,913,615,268.91
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以||34,070,446.55|-2,915,185,326.47
page|69
“-”号填列）|||
2.少数股东损益（净亏损以“-”号填列）||-1,719,581.43|1,570,057.56
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||32,350,865.12|-2,913,615,268.91
（一）归属于母公司所有者的综合收益总额||34,070,446.55|-2,915,185,326.47
（二）归属于少数股东的综合收益总额||-1,719,581.43|1,570,057.56
八、每股收益：|||
（一）基本每股收益(元/股)||0.04|-3.84
（二）稀释每股收益(元/股)||0.04|-3.84
