page|73
项目|附注五|2021 年度|2020 年度
一、营业总收入||2,345,955,677.40|2,638,771,768.77
其中：营业收入|（六十三）|2,151,309,598.77|2,472,013,085.14
利息收入|（六十四）|176,085,387.74|155,086,735.59
已赚保费|||
手续费及佣金收入|（六十四）|18,560,690.89|11,671,948.04
二、营业总成本||2,176,550,248.52|2,405,676,994.64
其中：营业成本|（六十三）|1,472,901,597.05|1,692,933,887.28
利息支出|（六十四）|9,729,767.06|11,407,540.41
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十五）|124,620,742.07|148,055,555.67
销售费用|（六十六）|72,105,200.96|85,955,303.11
管理费用|（六十七）|323,310,368.46|314,070,580.51
研发费用|（六十八）|5,857,214.19|5,202,534.79
财务费用|（六十九）|168,025,358.73|148,051,592.87
其中：利息费用||177,186,962.92|141,319,173.38
利息收入||20,996,995.49|17,262,439.49
加：其他收益|（七十）|62,236,658.65|61,008,628.50
投资收益（损失以“－”号填列）|（七十一）|152,299,773.89|61,168,931.83
其中：对联营企业和合营企业的投资收益||96,355,295.36|11,567,455.83
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十三）|182,611,440.13|414,742,508.52
|信用减值损失（损失以“-”号填列）  （七十四）|-74,087,221.31|-108,471,532.79
page|74
|资产减值损失（损失以“-”号填列）  （七十五）|-9,404,605.42|-15,462,340.13
|资产处置收益（损失以“－”号填列）  （七十六）|-18,595,242.74|149,044,167.70
三、营业利润（亏损以“－”号填列）||464,466,232.08|795,125,137.76
加：营业外收入|（七十七）|10,133,258.19|4,675,869.66
减：营业外支出|（七十八）|3,030,049.01|2,055,477.14
四、利润总额（亏损总额以“－”号填列）||471,569,441.26|797,745,530.28
减：所得税费用|（七十九）|93,763,973.34|227,390,972.57
五、净利润（净亏损以“－”号填列）||377,805,467.92|570,354,557.71
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||377,805,467.92|570,354,557.71
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||328,446,404.73|535,374,903.30
2.少数股东损益（净亏损以“-”号填列）||49,359,063.19|34,979,654.41
六、其他综合收益的税后净额||166,972,258.38|-233,612,081.34
（一）归属母公司所有者的其他综合收益的税后净额||166,972,258.38|-233,612,081.34
1．不能重分类进损益的其他综合收益||171,080,869.45|-224,441,213.12
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||171,080,869.45|-224,441,213.12
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-4,108,611.07|-9,170,868.22
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-4,108,611.07|-9,170,868.22
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||544,777,726.30|336,742,476.37
（一）归属于母公司所有者的综合收益总额||495,418,663.11|301,762,821.96
（二）归属于少数股东的综合收益总额||49,359,063.19|34,979,654.41
八、每股收益：|||
（一）基本每股收益(元/股)||0.14|0.23
（二）稀释每股收益(元/股)||0.14|0.23
