page|93
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||2,930,756,386.32|2,828,801,828.26
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||10,356,520.02|528,861.42
收到其他与经营活动有关的现金|（五十八）|141,436,618.29|288,448,795.49
经营活动现金流入小计||3,082,549,524.63|3,117,779,485.17
购买商品、接受劳务支付的现金||1,192,302,786.80|1,459,948,396.91
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||1,485,337,837.94|1,183,762,310.59
支付的各项税费||263,776,868.76|189,158,208.87
支付其他与经营活动有关的现金|（五十八）|215,177,806.05|473,837,553.59
经营活动现金流出小计||3,156,595,299.55|3,306,706,469.96
经营活动产生的现金流量净额||-74,045,774.92|-188,926,984.79
二、投资活动产生的现金流量|||
收回投资收到的现金||1,835,601,927.90|1,993,676,573.12
取得投资收益收到的现金||88,926,756.73|54,675,748.70
处置固定资产、无形资产和其他长期资产收回的现金净额||1,973,583.17|10,325,780.05
处置子公司及其他营业单位收到的现金净额|||3,900,000.00
收到其他与投资活动有关的现金|（五十八）|3,844,277.86|3,617,162.18
投资活动现金流入小计||1,930,346,545.66|2,066,195,264.05
购建固定资产、无形资产和其他长期资产支付的现金||13,486,985.79|181,865,539.81
投资支付的现金||438,975,730.00|569,886,097.25
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十八）|236,793,283.16|
投资活动现金流出小计||689,255,998.95|751,751,637.06
投资活动产生的现金流量净额||1,241,090,546.71|1,314,443,626.99
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||443,370,000.00|1,724,030,000.00
收到其他与筹资活动有关的现金|（五十八）|350,000,000.00|
筹资活动现金流入小计||793,370,000.00|1,724,030,000.00
偿还债务支付的现金||2,089,532,382.50|2,233,207,988.34
分配股利、利润或偿付利息支付的现金||187,577,933.75|285,790,395.27
其中：子公司支付给少数股东的股利、利润||6,250,000.00|3,750,000.00
支付其他与筹资活动有关的现金|（五十八）|17,144,183.97|14,155,409.97
筹资活动现金流出小计||2,294,254,500.22|2,533,153,793.58
筹资活动产生的现金流量净额||-1,500,884,500.22|-809,123,793.58
四、汇率变动对现金及现金等价物的影响||-105,463.31|-185,711.91
五、现金及现金等价物净增加额||-333,945,191.74|316,207,136.71
加：期初现金及现金等价物余额||675,784,453.19|359,577,316.48
六、期末现金及现金等价物余额||341,839,261.45|675,784,453.19
