page|91
项目|附注五|本期金额|上期金额
一、营业总收入||2,660,432,814.30|2,358,906,291.87
其中：营业收入|（四十二）|2,660,432,814.30|2,358,906,291.87
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,894,894,973.30|2,899,446,568.36
其中：营业成本|（四十二）|2,299,611,402.78|2,248,893,006.58
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十三）|22,638,434.48|20,915,907.63
销售费用|（四十四）|56,855,998.61|66,439,163.82
管理费用|（四十五）|248,605,831.78|240,378,883.20
研发费用|（四十六）|84,972,219.23|82,845,091.48
财务费用|（四十七）|182,211,086.42|239,974,515.65
其中：利息费用||184,942,142.74|226,295,899.23
利息收入||4,797,174.61|4,063,545.11
加：其他收益|（四十八）|68,774,141.39|79,382,625.71
投资收益（损失以“-”号填列）|（四十九）|-212,194,615.44|30,616,505.11
其中：对联营企业和合营企业的投资收益||-107,397,215.75|-61,739,804.18
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十）|-8,944,669.18|
信用减值损失（损失以“-”号填列）|（五十一）|-43,692,383.19|-46,312,037.15
资产减值损失（损失以“-”号填列）|（五十二）|-1,137,854,115.35|-2,353,226,089.79
资产处置收益（损失以“-”号填列）|（五十三）|-46,793,468.23|2,533,443.31
三、营业利润（亏损以“-”号填列）||-1,615,167,269.00|-2,827,545,829.30
加：营业外收入|（五十四）|336,376.80|732,381.08
减：营业外支出|（五十五）|210,945,445.16|60,232,744.15
四、利润总额（亏损总额以“-”号填列）||-1,825,776,337.36|-2,887,046,192.37
减：所得税费用|（五十六）|15,141,806.82|68,102,265.79
五、净利润（净亏损以“-”号填列）||-1,840,918,144.18|-2,955,148,458.16
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||-1,840,918,144.18|-2,955,148,458.16
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||-1,475,690,598.27|-2,634,587,590.01
2．少数股东损益（净亏损以“-”号填列）||-365,227,545.91|-320,560,868.15
六、其他综合收益的税后净额||-585,180,856.15|-282,910,047.87
归属于母公司所有者的其他综合收益的税后净额||-584,959,018.74|-282,837,262.91
（一）不能重分类进损益的其他综合收益||-590,170,785.52|-275,506,756.94
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益||-48,623,801.44|-5,858,345.20
3．其他权益工具投资公允价值变动||-541,546,984.08|-269,648,411.74
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||5,211,766.78|-7,330,505.97
1．权益法下可转损益的其他综合收益||5,722,597.94|-5,722,597.94
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-510,831.16|-1,607,908.03
7．其他|||
归属于少数股东的其他综合收益的税后净额||-221,837.41|-72,784.96
七、综合收益总额||-2,426,099,000.33|-3,238,058,506.03
归属于母公司所有者的综合收益总额||-2,060,649,617.01|-2,917,424,852.92
归属于少数股东的综合收益总额||-365,449,383.32|-320,633,653.11
八、每股收益：|（五十七）||
（一）基本每股收益（元/股）||-0.3765|-0.6721
（二）稀释每股收益（元/股）|||
