page|99
项                    目|注释|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,040,921,119.80|7,996,956,078.25
收到的税费返还||80,101,240.36|
收到其他与经营活动有关的现金|6.55|1,309,596,329.34|995,586,233.93
经营活动现金流入小计||7,430,618,689.50|8,992,542,312.18
购买商品、接受劳务支付的现金||3,580,156,729.40|5,442,692,981.50
支付给职工以及为职工支付的现金||625,362,510.52|336,092,323.01
支付的各项税费||1,090,108,017.24|939,768,938.20
支付其他与经营活动有关的现金|6.55|1,760,735,647.37|1,563,864,717.98
经营活动现金流出小计||7,056,362,904.53|8,282,418,960.69
经营活动产生的现金流量净额||374,255,784.97|710,123,351.49
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,000,000.00|435,073,029.22
取得投资收益收到的现金|||247,948.29
处置固定资产、无形资产和其他长期资产收回的现金净额||16,898,630.09|56,133,674.91
处置子公司及其他营业单位收到的现金净额|||1,952,806,384.47
收到其他与投资活动有关的现金|6.55|14,774,875.00|
投资活动现金流入小计||41,673,505.09|2,444,261,036.89
购建固定资产、无形资产和其他长期资||1,450,336,015.96|2,315,330,656.30
page|100
产支付的现金|||
投资支付的现金||16,500,000.00|882,456,166.56
取得子公司及其他营业单位支付的现金净额|||274,673,856.79
支付其他与投资活动有关的现金|6.55|162,000,000.00|
投资活动现金流出小计||1,628,836,015.96|3,472,460,679.65
投资活动产生的现金流量净额||-1,587,162,510.87|-1,028,199,642.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||270,833,200.00
其中：子公司吸收少数股东投资收到的现金|||270,833,200.00
取得借款收到的现金||4,739,247,600.00|3,253,531,000.00
发行债券收到的现金|||1,000,000,000.00
收到其他与筹资活动有关的现金|6.55|314,000,349.98|15.16
筹资活动现金流入小计||5,053,247,949.98|4,524,364,215.16
偿还债务支付的现金||2,384,590,000.00|3,519,531,000.00
分配股利、利润或偿付利息支付的现金||600,559,464.90|459,901,280.17
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|6.55|387,971,412.22|261,051,110.55
筹资活动现金流出小计||3,373,120,877.12|4,240,483,390.72
筹资活动产生的现金流量净额||1,680,127,072.86|283,880,824.44
四、汇率变动对现金及现金等价物的影响||4,534.92|
五、现金及现金等价物净增加额||467,224,881.88|-34,195,466.83
加：期初现金及现金等价物余额||2,011,067,349.61|2,045,262,816.44
六、期末现金及现金等价物余额||2,478,292,231.49|2,011,067,349.61
