page|97
项               目|注释|本年金额|上年金额
一、营业总收入||3,659,484,107.58|2,520,434,843.35
其中：营业收入|6.40|3,659,484,107.58|2,520,434,843.35
二、营业总成本||3,663,333,226.09|2,818,315,347.23
其中：营业成本|6.40|2,552,658,397.01|1,893,343,644.40
税金及附加|6.41|116,864,379.95|255,723,552.81
销售费用|6.42|260,578,645.54|197,349,807.95
管理费用|6.43|650,936,192.58|397,003,731.73
研发费用|6.44|25,917,436.73|6,527,348.59
财务费用|6.45|56,378,174.28|68,367,261.75
其中：利息费用||95,133,549.94|107,092,074.37
利息收入||40,679,308.75|41,336,749.02
加：其他收益|6.46|7,150,962.85|1,505,010.50
投资收益（损失以“－”号填列）|6.47|12,903,251.76|850,016,714.84
其中：对联营企业和合营企业的投资收益||99,705.55|509,144.53
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|6.48|-11,282,469.87|
信用减值损失（损失以“－”号填列）|6.49|8,013,984.20|
资产减值损失  （损失以“－”号填列）|6.50|-66,201,332.64|-116,050,711.94
资产处置收益（损失以“－”号填列）|6.51|-82,901.12|481,805.31
三、营业利润（亏损以“－”号填列）||-53,347,623.33|438,072,314.83
加：营业外收入|6.52|4,883,082.81|4,206,982.83
减：营业外支出|6.53|22,600,179.16|32,084,649.61
四、利润总额（亏损总额以“－”号填列）||-71,064,719.68|410,194,648.05
减：所得税费用|6.54|136,787,800.33|261,101,552.18
五、净利润（净亏损以“－”号填列）||-207,852,520.01|149,093,095.87
（一）按经营持续性分类|||
page|98
1、持续经营净利润（净亏损以“－”号填列）||-207,852,520.01|149,093,095.87
2、终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1、归属于母公司股东的净利润（净亏损以“－”号填列）||66,886,561.83|248,814,083.27
2、少数股东损益（净亏损以“－”号填列）||-274,739,081.84|-99,720,987.40
六、其他综合收益的税后净额||-430,218.02|
（一）归属母公司股东的其他综合收益的税后净额||-210,806.83|
1、不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
（5）其他|||
2、将重分类进损益的其他综合收益||-210,806.83|
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||2,476.83|
（9）其他||-213,283.66|
（二）归属于少数股东的其他综合收益的税后净额||-219,411.19|
七、综合收益总额||-208,282,738.03|149,093,095.87
（一）归属于母公司股东的综合收益总额||66,675,755.00|248,814,083.27
page|99
（二）归属于少数股东的综合收益总额||-274,958,493.03|-99,720,987.40
八、每股收益：|||
（一）基本每股收益（元/股）||0.0268|0.0974
（二）稀释每股收益（元/股）||0.0268|0.0974
