page|87
|||江苏中南建设集团股份有限公司 2019 年度报告全文||
||合并及公司现金流量表|||
||2019 年度|||
编制单位：江苏中南建设集团股份有限公司|||||单位：人民币元
||本期金额||上期金额|
项目|附注||||
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
销售商品、提供劳务收到的现金||78,653,253,469.40|0|90,222,747,573.50|
收到的税费返还||0|0||
收到其他与经营活动有关的现金|五、58|32,316,802,380.33|17,001,988,343.72|6,922,671,376.97|1,462,522,116.38
经营活动现金流入小计||110,970,055,849.73|17,001,988,343.72|97,145,418,950.47|1,462,522,116.38
购买商品、接受劳务支付的现金||61,803,924,357.52|0|50,763,893,347.22|
支付给职工以及为职工支付的现金||6,469,567,009.20|92,805,468.64|5,856,503,674.82|315,572,173.90
支付的各项税费||6,109,881,776.83|10,000,210.83|4,981,015,114.66|64,136,999.68
支付其他与经营活动有关的现金|五、58|28,390,351,841.82|5,092,738,600.23|16,112,429,003.40|2,178,580,889.97
经营活动现金流出小计||102,773,724,985.37|5,195,544,279.70|77,713,841,140.10|2,558,290,063.55
经营活动产生的现金流量净额||8,196,330,864.36|11,806,444,064.02|19,431,577,810.37|-1,095,767,947.17
二、投资活动产生的现金流量：|||||
收回投资收到的现金||29,650,272,390.39|29,170,200,000.00|11,495,448,352.78|10,530,000,000.00
取得投资收益收到的现金||415,877,995.42|337,775,974.26|82,750,518.70|102,920,797.57
处置固定资产、无形资产和其他长期资产收回|||||
||18,282,175.00|0|105,409,602.96|1,524,781.00
的现金净额|||||
处置子公司及其他营业单位收到的现金净额||214,424,944.50|220,250,000.80|139,488,980.78|1,367,591,992.82
收到其他与投资活动有关的现金|五、58|421,390,456.15|0||
投资活动现金流入小计||30,720,247,961.46|29,728,225,975.06|11,823,097,455.22|12,002,037,571.39
购置固定资产、无形资产和其他长期资产支付|||||
||7,851,261,096.31|6,018,949.56|6,081,481,820.85|13,342,259.56
的现金|||||
投资支付的现金||36,249,510,516.83|32,875,270,826.64|17,008,577,881.80|10,580,050,265.85
取得子公司及其他营业单位支付的现金净额||0|0|934,591,250.89|1,781,087,018.54
支付其他与投资活动有关的现金|五、58|0||448,292,382.46|
投资活动现金流出小计||44,100,771,613.14|32,881,289,776.20|24,472,943,336.00|12,374,479,543.95
投资活动产生的现金流量净额||-13,380,523,651.68|-3,153,063,801.14|-12,649,845,880.78|-372,441,972.56
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||2,760,728,462.41|110,782,487.04|324,585,225.52|
其中：子公司吸收少数股东投资收到的现金||2,649,945,975.09||324,585,225.52|
取得借款收到的现金||52,311,069,200.79|7,556,110,000.00|38,054,870,017.77|10,161,600,500.00
发行债券收到的现金||7,088,200,000.00|4,180,000,000.00|3,282,900,000.00|4,300,000,000.00
收到其他与筹资活动有关的现金|五、58|1,362,421,878.74|40,000,000.00|1,878,516,392.97|79,004,638.89
筹资活动现金流入小计||63,522,419,541.94|11,886,892,487.04|43,540,871,636.26|14,540,605,138.89
偿还债务支付的现金||47,206,208,095.59|14,632,192,004.70|35,969,554,363.15|11,470,570,500.00
分配股利、利润或偿付利息支付的现金||6,989,968,413.73|5,074,690,164.24|4,740,149,267.57|2,252,194,922.56
其中：子公司支付少数股东的股利、利润|||||
支付其他与筹资活动有关的现金|五、58|1,267,626,026.28|511,017,970.92|6,873,338,644.54|546,136,856.51
筹资活动现金流出小计||55,463,802,535.60|20,217,900,139.86|47,583,042,275.26|14,268,902,279.07
筹资活动产生的现金流量净额||8,058,617,006.34|-8,331,007,652.82|-4,042,170,639.00|271,702,859.82
四、汇率变动对现金及现金等价物的影响||-17,192,361.63||-4,422,078.75|
五、现金及现金等价物净增加额||2,857,231,857.39|322,372,610.06|2,735,139,211.84|-1,196,507,059.91
加：期初现金及现金等价物余额||13,311,062,419.82|743,761,081.40|10,575,923,207.98|1,940,268,141.31
六、期末现金及现金等价物余额||16,168,294,277.21|1,066,133,691.46|13,311,062,419.82|743,761,081.40
