page|86
||江苏中南建设集团股份有限公司 2019 年度报告全文||
|合并及公司利润表|||
|2019 年度|||
编制单位：江苏中南建设集团股份有限公司||||单位：人民币元
|本期金额||上期金额|
项目|附注|||
|合并|公司|合并|公司
一、营业收入|五、4371,830,786,061.08|103,496,790.49|40,110,125,872.49|1,351,578,012.81
减：营业成本|五、4359,801,503,631.40||32,264,877,717.64|
税金及附加|五、441,878,292,023.98|8,871,212.10|1,453,623,317.00|9,314,448.56
销售费用|五、451,462,806,748.56||966,396,122.20|
管理费用|五、463,216,234,749.90|252,268,055.34|2,390,574,274.59|571,251,853.97
研发费用|五、471,283,730.79|||
财务费用|五、48674,667,964.26|9,261,098.38|415,626,776.31|15,241,342.89
其中：利息费用|752,006,698.91||545,669,746.03|
利息收入|212,080,549.16|30,659,066.16|193,026,169.03|20,082,856.07
加：其他收益|五、49107,808,755.89|13,246,352.27|137,696,976.83|1,118,058.75
投资收益(损失以“-”号填列）|五、502,091,683,676.53|589,900,832.28|579,009,056.16|2,926,908,705.59
其中：对联营企业和合营企业的投资收益|1,242,242,213.46|105,411,070.82|344,131,171.49|259,915,394.24
以摊余成本计量的金融资产终止确认收益（损失以||||
|-312,668.68|||
“-”号填列）||||
净敞口套期收益(损失以“-”号填列）||||
公允价值变动收益(损失以“-”号填列）|五、5150,965,322.75|49,993,318.69|53,245,121.21|-130,200.00
||-108,479,165.0||
信用减值损失(损失以“-”号填列）|五、52-479,388,698.98|||
||8||
资产减值损失(损失以“-”号填列）|五、53-266,729,938.72||-206,199,494.64|-80,392,416.82
资产处置收益(损失以“-”号填列）|五、548,939,574.16||-26,355,891.40|
二、营业利润(亏损以“-”号填列）|6,309,275,903.82|377,757,762.83|3,156,423,432.91|3,603,274,514.91
加：营业外收入|五、5551,091,056.96|374,731.76|63,578,182.50|808,858.30
减：营业外支出|五、56205,310,069.39|2,946,558.33|170,067,101.62|49,686.62
三、利润总额(亏损总额以“-”号填列）|6,155,056,891.39|375,185,936.26|3,049,934,513.79|3,604,033,686.59
减：所得税费用|五、571,532,490,071.46||737,383,606.89|
四、净利润(净亏损以“-”号填列）|4,622,566,819.93|375,185,936.26|2,312,550,906.90|3,604,033,686.59
（一）按经营持续性分类：||||
其中：持续经营净利润（净亏损以“-”号填列）|4,622,566,819.93|375,185,936.26|2,312,550,906.90|3,604,033,686.59
终止经营净利润（净亏损以“-”号填列）||||
（二）按所有权归属分类：||||
其中：归属于母公司股东的净利润（净亏损以“-”号||||
|4,163,085,623.09||2,193,097,869.05|
填列）||||
少数股东损益（净亏损以“-”号填列）|459,481,196.84||119,453,037.85|
五、其他综合收益的税后净额|689,610.23||-16,266,295.80|
归属于母公司股东的其他综合收益的税后净额|482,727.16||-19,070,398.34|
（一）不能重分类进损益的其他综合收益||||
（二）将重分类进损益的其他综合收益|482,727.16||-19,070,398.34|
外币财务报表折算差额|482,727.16||-19,070,398.34|
归属于少数股东的其他综合收益的税后净额|206,883.07||2,804,102.54|
六、综合收益总额|4,623,256,430.16|375,185,936.26|2,296,284,611.10|3,604,033,686.59
归属于母公司股东的综合收益总额|4,163,568,350.25||2,174,027,470.71|
归属于少数股东的综合收益总额|459,688,079.91||122,257,140.39|
七、每股收益||||
（一）基本每股收益|1.1151||0.5912|
（二）稀释每股收益|1.1151||0.5912|
公司法定代表人：陈锦石|主管会计工作的公司负责人：辛琦||公司会计机构负责人：辛琦|
