page|84
|||合并及公司资产负债表||
|||2019 年 12 月 31 日||
编制单位：江苏中南建设集团股份有限公司|||||单位：人民币元
||2019 年 12 月 31 日||2018 年 12 月 31 日|
项目|附注||||
||合并|公司|合并|公司
流动资产：|||||
货币资金|五、1|25,409,736,687.50|1,066,133,691.46|20,416,915,066.92|743,761,081.40
交易性金融资产|五、2|1,521,271,332.24|1,250,380,533.69||
以公允价值计量且其变动|||||
|五、3|||45,327,129.09|260,090.00
计入当期损益的金融资产|||||
应收票据|五、4|1,387,357,126.67|-|1,091,542,043.50|-
应收账款|五、5|11,732,392,315.46|-|8,564,563,512.36|-
应收款项融资|五、6|42,395,544.00|-||
预付款项|五、7|6,015,364,971.25|11,515,404.79|8,647,816,626.39|16,419,343.76
其他应收款|五、8|29,842,897,867.03|104,956,602,917.00|28,555,595,536.33|94,262,424,917.35
其中：应收利息||-|-|-|-
应收股利||47,360,000.00|3,017,351,545.57|47,360,000.00|3,017,351,545.57
存货|五、9|165,586,813,570.85|-|135,002,590,942.43|-
持有待售资产||-|-|-|-
一年内到期的非流动资产|五、10|50,000,000.00|50,000,000.00|10,000,000.00|10,000,000.00
其他流动资产|五、11|10,846,764,318.34|181,965,305.74|9,560,666,956.41|650,151,013.60
流动资产合计||252,434,993,733.34|107,516,597,852.68|211,895,017,813.43|95,683,016,446.11
非流动资产：|||||
债权投资|五、12|-|-||
可供出售金融资产|五、13|||549,100,000.00|377,100,000.00
其他债权投资||-|-||
持有至到期投资||||-|-
长期应收款|五、14|13,104,703,611.41|2,500,000.00|6,508,109,043.20|2,500,000.00
长期股权投资|五、15|13,486,192,849.00|21,751,221,251.59|6,893,425,366.83|19,480,457,928.13
其他权益工具投资||-|-||
其他非流动金融资产|五、16|473,898,830.00|368,331,771.00||
投资性房地产|五、17|4,419,480,000.00|-|4,210,468,897.66|-
固定资产|五、18|3,266,882,504.35|764,926,080.86|3,068,894,608.28|795,952,148.19
在建工程|五、19|12,146,322.42|-|46,540,513.07|-
生产性生物资产||-|-|-|-
油气资产||-|-|-|-
无形资产|五、20|667,424,271.04|80,069,204.82|599,403,276.77|81,541,911.77
开发支出||-|-|-|-
商誉|五、21|4,188,653.58|-|4,188,653.58|-
长期待摊费用|五、22|565,741,455.35|-|346,898,705.56|-
递延所得税资产|五、23|2,134,935,595.96|-|1,528,698,007.33|-
其他非流动资产|五、24|-|-|43,342,136.62|-
非流动资产合计||38,135,594,093.11|22,967,048,308.27|23,799,069,208.90|20,737,551,988.09
资产总计||290,570,587,826.45|130,483,646,160.95|235,694,087,022.33|116,420,568,434.20
