page|71
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31日
流动资产：|||
货币资金|七、1|1,430,339,059.63|88,817,665.19
应收票据|七、4|64,105,351.89|0.00
应收账款|七、5|190,830,294.48|7,123,340.30
应收款项融资|七、6|26,157,920.58|0.00
预付款项|七、7|10,820,480.04|540,685.74
其他应收款|七、8|26,349,249.64|26,520,539.84
其中：应收利息|七、8|3,689,487.04|2,342,183.32
存货|七、9|326,391,285.64|11,383,893.98
其他流动资产|七、13|18,098,774.84|7,596,137.06
流动资产合计||2,093,092,416.74|141,982,262.11
非流动资产：|||
投资性房地产|七、20|26,795,199.33|27,495,956.97
固定资产|七、21|355,711,421.31|49,594,069.24
在建工程|七、22|3,979,775.14|
生产性生物资产|七、23|46,992,636.28|49,933,416.39
使用权资产|七、25|43,711,730.84|0.00
无形资产|七、26|282,482,749.29|29,856,717.28
商誉|七、28|739,894,459.86|0.00
递延所得税资产|七、30|19,749,163.01|1,494,643.77
其他非流动资产|七、31|1,516,000.00|0.00
非流动资产合计||1,520,833,135.06|158,374,803.65
资产总计||3,613,925,551.80|300,357,065.76
流动负债：|||
短期借款|七、32|160,112,581.96|0.00
应付账款|七、36|171,530,383.88|0.00
预收款项|七、37|88,628.76|68,145.79
合同负债|七、38|15,326,256.94|5,784,621.60
应付职工薪酬|七、39|45,180,378.13|1,940,366.02
应交税费|七、40|5,966,001.42|633,173.95
其他应付款|七、41|1,524,032,321.40|2,063,584.00
一年内到期的非流动负债|七、43|62,035,674.97|99,926.28
其他流动负债|七、44|5,108,772.92|323,658.10
流动负债合计||1,989,381,000.38|10,913,475.74
非流动负债：|||
646,000,000.00 0.00 长期借款 七、45|||
page|72
租赁负债|七、47|40,256,736.42|0.00
长期应付款|七、48|612,000,000.00|0.00
长期应付职工薪酬|七、49|30,596.33|105,385.77
递延收益|七、51|10,818,000.00|10,818,000.00
递延所得税负债|七、30|72,852,429.81|0.00
非流动负债合计||1,381,957,762.56|10,923,385.77
负债合计||3,371,338,762.94|21,836,861.51
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|147,706,873.00|147,706,873.00
资本公积|七、55|223,982,201.21|223,982,201.21
盈余公积|七、59|34,192,504.86|34,192,504.86
未分配利润|七、60|-163,294,790.21|-127,361,374.82
归属于母公司所有者权益（或股东权益）合计||242,586,788.86|278,520,204.25
所有者权益（或股东权益）合计||242,586,788.86|278,520,204.25
负债和所有者权益（或股东权益）总计||3,613,925,551.80|300,357,065.76
