page|113
项目|附 注|2019 年度|2018 年度
一、营业总收入||84,876,960,043.74|70,516,654,453.22
其中：营业收入||84,876,960,043.74|70,516,654,453.22
利息收入|||
已赚保费|||
手续费及佣金收入|||
page|114
二、营业总成本||82,967,349,920.67|69,852,256,015.35
其中：营业成本||66,573,577,344.41|54,899,739,654.21
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||247,220,310.36|237,484,758.42
销售费用||13,782,073,241.31|11,560,294,075.08
管理费用||2,013,332,928.53|3,007,200,280.24
研发费用|||
财务费用||351,146,096.06|147,537,247.40
其中：利息费用||291,669,916.39|71,288,190.28
利息收入||83,490,279.49|34,189,222.09
加：其他收益||151,670,793.95|119,892,720.04
投资收益（损失以“－”号填列）||-68,679,966.35|548,256,926.15
其中：对联营企业和合营企业的投资收益||-421,925,994.48|130,222,860.97
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||83,772,888.34|33,145,833.45
信用减值损失（损失以“-”号填列）||-65,003,813.50|
资产减值损失（损失以“-”号填列）||-325,584,421.55|-68,662,907.88
资产处置收益（损失以“－”号填列）||-45,782,843.20|-32,569,850.67
三、营业利润（亏损以“－”号填列）||1,640,002,760.76|1,264,461,158.96
page|115
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,563,727,529.60|1,480,353,302.45
2.少数股东损益（净亏损以“-”号填列）||-110,886,180.53|-482,950,770.21
六、其他综合收益的税后净额||136,237.08|995,620.35
（一）归属母公司所有者的其他综合收益的税后净额||136,237.08|995,620.35
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||136,237.08|995,620.35
（1）权益法下可转损益的其他综合收益||77,292.43|848,770.32
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
page|116
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||58,944.65|146,850.03
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,452,977,586.15|998,398,152.59
（一）归属于母公司所有者的综合收益总额||1,563,863,766.68|1,481,348,922.80
（二）归属于少数股东的综合收益总额||-110,886,180.53|-482,950,770.21
八、每股收益：|||
（一）基本每股收益(元/股)||0.16|0.15
（二）稀释每股收益(元/股)||0.16|0.15
