page|118
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||99,070,752,665.78|84,248,019,388.22
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||29,459,853.16
page|119
收到其他与经营活动有关的现金||553,941,195.90|466,240,597.09
经营活动现金流入小计||99,624,693,861.68|84,743,719,838.47
购买商品、接受劳务支付的现金||80,808,526,197.25|68,089,202,346.86
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||6,627,419,794.74|6,077,874,296.07
支付的各项税费||1,706,433,369.76|1,874,855,756.65
支付其他与经营活动有关的现金||10,065,986,388.85|6,940,878,121.43
经营活动现金流出小计||99,208,365,750.60|82,982,810,521.01
经营活动产生的现金流量净额||416,328,111.08|1,760,909,317.46
二、投资活动产生的现金流量：|||
收回投资收到的现金||9,494,576.37|
取得投资收益收到的现金||28,913,802.74|27,290,172.82
处置固定资产、无形资产和其他长期资产收回的现金净额||9,797,519.35|5,011,131.33
处置子公司及其他营业单位收到的现金净额|||104,338,920.44
收到其他与投资活动有关的现金||4,670,321,243.19|5,320,924,873.06
投资活动现金流入小计||4,718,527,141.65|5,457,565,097.65
购建固定资产、无形资产和其他长期资产支付的现金||3,109,022,855.37|3,029,246,523.66
投资支付的现金||4,534,551,395.07|1,620,422,322.72
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,575,753,879.62|4,476,676,192.15
投资活动现金流出小计||9,219,328,130.06|9,126,345,038.53
投资活动产生的现金流量净额||-4,500,800,988.41|-3,668,779,940.88
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||160,041,104.72|976,150,000.00
page|120
其中：子公司吸收少数股东投资收到的现金||160,041,104.72|976,150,000.00
取得借款收到的现金||11,996,526,073.72|3,790,000,000.00
收到其他与筹资活动有关的现金|||760,566,635.00
筹资活动现金流入小计||12,156,567,178.44|5,526,716,635.00
偿还债务支付的现金||4,890,000,000.00|100,000,000.00
分配股利、利润或偿付利息支付的现金||1,337,902,779.87|1,483,220,426.78
其中：子公司支付给少数股东的股利、利润||17,374,154.54|6,218,920.00
支付其他与筹资活动有关的现金||28,750,503.92|1,638,837,235.59
筹资活动现金流出小计||6,256,653,283.79|3,222,057,662.37
筹资活动产生的现金流量净额||5,899,913,894.65|2,304,658,972.63
四、汇率变动对现金及现金等价物的影响||2,632,454.03|8,860,998.08
五、现金及现金等价物净增加额||1,818,073,471.35|405,649,347.29
加：期初现金及现金等价物余额||4,696,507,609.63|4,290,858,262.34
六、期末现金及现金等价物余额||6,514,581,080.98|4,696,507,609.63
