page|82
项目|附注五|2019 年度|2018 年度
一、营业总收入||13,610,735,654.79|20,493,770,098.67
其中：营业收入|（六十）|13,610,735,654.79|20,493,770,098.67
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||11,774,181,032.88|17,325,824,718.78
其中：营业成本|（六十）|9,247,535,009.12|14,078,741,425.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十一）|946,475,742.41|1,592,555,582.28
销售费用|（六十二）|526,786,031.03|519,748,279.20
管理费用|（六十三）|687,717,929.14|661,261,881.48
研发费用|||
财务费用|（六十五）|365,666,321.18|473,517,550.76
其中：利息费用||817,833,213.60|674,612,535.78
利息收入||468,945,123.29|219,329,458.19
page|83
加：其他收益|（六十六）|8,001,678.73|3,965,304.47
|投资收益（损失以“－”号填列）  （六十七）|-100,290,629.92|-45,384,555.30
其中：对联营企业和合营企业的投资收益||-239,699,896.71|-52,160,906.49
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（六十九）|262,814.80|
信用减值损失（损失以“-”号填列）|（七十）|-57,598,910.53|
资产减值损失（损失以“-”号填列）|（七十一）|-250,718,312.22|-915,313,322.01
资产处置收益（损失以“－”号填列）|（七十二）|2,472,351.86|4,225,463.20
三、营业利润（亏损以“－”号填列）||1,438,683,614.63|2,215,438,270.25
加：营业外收入|（七十三）|50,752,001.87|112,026,210.78
减：营业外支出|（七十四）|76,508,875.82|51,332,188.67
四、利润总额（亏损总额以“－”号填列）||1,412,926,740.68|2,276,132,292.36
减：所得税费用|（七十五）|556,531,128.10|904,731,972.28
五、净利润（净亏损以“－”号填列）||856,395,612.58|1,371,400,320.08
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||856,395,612.58|1,371,400,320.08
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||570,418,048.79|1,417,934,115.12
2.少数股东损益（净亏损以“-”号填列）||285,977,563.79|-46,533,795.04
六、其他综合收益的税后净额|||121,981.63
（一）归属母公司所有者的其他综合收益的税后净额|||121,981.63
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||121,981.63
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动|||121,981.63
page|84
损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||856,395,612.58|1,371,522,301.71
（一）归属于母公司所有者的综合收益总额||570,418,048.79|1,418,056,096.75
（二）归属于少数股东的综合收益总额||285,977,563.79|-46,533,795.04
八、每股收益：|||
（一）基本每股收益(元/股)||0.1949|0.6272
（二）稀释每股收益(元/股)||0.1949|0.6272
