page|52
项目|附注|2020 年度|2019 年度
一、营业总收入||24,157,383.42|38,933,139.92
其中：营业收入||24,157,383.42|38,933,139.92
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||35,009,487.74|51,407,517.38
其中：营业成本||19,944,877.48|32,631,144.41
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,100.08|12,890.85
销售费用||818,138.12|1,304,406.75
page|53
管理费用||14,603,582.18|17,882,086.28
研发费用|||
财务费用||-363,210.12|-423,010.91
其中：利息费用|||
利息收入||375,451.20|438,035.39
加：其他收益||11,538.00|
投资收益（损失以“－”号填列）||-19,199,058.22|-6,390,238.48
其中：对联营企业和合营企业的投资收益||-19,699,058.22|-6,390,238.48
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-911,487.91|-389,045.65
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）|||-30,951,112.45  -19,253,661.59
加：营业外收入|||1,031,889.28
减：营业外支出||627,720.00|149,351.48
四、利润总额（亏损总额以“－”号填列）|||-31,578,832.45  -18,371,123.79
减：所得税费用||-2,899.32|131,466.76
五、净利润（净亏损以“－”号填列）|||-31,575,933.13  -18,502,590.55
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）|||-31,575,933.13  -18,502,590.55
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）|||-31,566,915.72  -18,500,119.73
2.少数股东损益（净亏损以“-”号填列）||-9,017.41|-2,470.82
六、其他综合收益的税后净额||-60,852,162.83|
（一）归属母公司所有者的其他综合收益的税后净额||-60,852,162.83|
1．不能重分类进损益的其他综合收益||-60,852,162.83|
page|54
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-60,852,162.83|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额|||-92,428,095.96  -18,502,590.55
（一）归属于母公司所有者的综合收益总额|||-92,419,078.55  -18,500,119.73
（二）归属于少数股东的综合收益总额||-9,017.41|-2,470.82
八、每股收益：|||
（一）基本每股收益(元/股)||-0.0620|-0.0364
（二）稀释每股收益(元/股)||-0.0620|-0.0364
