page|86
|注||
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||12,485,552,256.06|11,360,456,346.62
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||478,605,774.92|455,633,146.93
收到其他与经营活动有关的现金||428,401,943.69|756,286,199.37
经营活动现金流入小计||13,392,559,974.67|12,572,375,692.92
购买商品、接受劳务支付的现金||10,320,991,736.04|9,533,469,989.58
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,936,858,501.89|1,961,783,180.75
支付的各项税费||377,999,023.73|348,839,546.94
支付其他与经营活动有关的现金||631,517,526.84|558,445,472.15
经营活动现金流出小计||13,267,366,788.50|12,402,538,189.42
经营活动产生的现金流量净额||125,193,186.17|169,837,503.50
二、投资活动产生的现金流量：|||
收回投资收到的现金||215,046,000.00|889,856,769.44
取得投资收益收到的现金||56,562,956.98|67,960,140.08
处置固定资产、无形资产和其他长期资产收回的现金净额||45,326,249.47|17,361,027.97
处置子公司及其他营业单位收到的现金净额||442,733,798.92|330,084,169.50
收到其他与投资活动有关的现金|||2,172,930.00
投资活动现金流入小计||759,669,005.37|1,307,435,036.99
购建固定资产、无形资产和其他长期资产支付的现金||452,978,811.87|441,887,569.55
投资支付的现金||229,946,000.00|824,480,120.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||6,231,921.20|3,641,148.79
投资活动现金流出小计||689,156,733.07|1,270,008,838.34
投资活动产生的现金流量净额||70,512,272.30|37,426,198.65
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||869,337,139.60|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,407,530,076.44|3,089,801,919.68
收到其他与筹资活动有关的现金||11,130,862.50|23,786,074.57
page|87
筹资活动现金流入小计||2,287,998,078.54|3,113,587,994.25
偿还债务支付的现金||2,175,372,988.72|2,862,753,698.86
分配股利、利润或偿付利息支付的现金||90,340,368.33|133,228,019.78
其中：子公司支付给少数股东的股利、利润||5,186,931.52|2,137,082.01
支付其他与筹资活动有关的现金||156,230,226.18|47,166,464.99
筹资活动现金流出小计||2,421,943,583.23|3,043,148,183.63
筹资活动产生的现金流量净额||-133,945,504.69|70,439,810.62
四、汇率变动对现金及现金等价物的影响||-38,757,914.66|-35,253,301.52
五、现金及现金等价物净增加额||23,002,039.12|242,450,211.25
加：期初现金及现金等价物余额||1,420,038,919.64|1,177,588,708.39
六、期末现金及现金等价物余额||1,443,040,958.76|1,420,038,919.64
