page|89
项目|附注|2021 年度|2020 年度
一、营业总收入||171,661,718|336,693,938
其中：营业收入||171,661,718|336,693,938
利息收入|||
已赚保费|||
手续费及佣金收入|||
page|90
二、营业总成本||169,109,223|331,577,230
其中：营业成本||158,690,871|311,166,664
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||89,997|202,101
销售费用||2,071,881|3,865,036
管理费用||7,028,650|14,122,702
研发费用|||
财务费用||1,227,824|2,220,727
其中：利息费用||976,333|2,443,824
利息收入||159,406|196,782
加：其他收益||11|1,024
投资收益（损失以“－”号填列）||355,044|-159,738
其中：对联营企业和合营企业的投资收益||42,092|-173,564
以摊余成本计量的金融资产终止确认收益||-24,945|-35,579
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||256,116|-1,131,626
信用减值损失（损失以“-”号填列）||1,594,779|-5,403,551
资产减值损失（损失以“-”号填列）||-334,376|-8,999,471
资产处置收益（损失以“－”号填列）||-2,697|-2,280
三、营业利润（亏损以“－”号填列）||4,421,372|-10,578,934
加：营业外收入||3,703|3,300
减：营业外支出||807|16,325
四、利润总额（亏损总额以“－”号填列）||4,424,268|-10,591,959
减：所得税费用||726,923|1,211,834
page|91
五、净利润（净亏损以“－”号填列）||3,697,345|-11,803,793
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,733,983|-11,803,793
2.终止经营净利润（净亏损以“－”号填列）||1,963,362|
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,080,189|-9,788,603
2.少数股东损益（净亏损以“-”号填列）||617,156|-2,015,190
六、其他综合收益的税后净额||29,779|-346,205
（一）归属母公司所有者的其他综合收益的税后净额||9,117|-247,372
1．不能重分类进损益的其他综合收益|||-57,904
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||-57,904
2．将重分类进损益的其他综合收益||9,117|-189,468
（1）权益法下可转损益的其他综合收益||-39,980|-32,346
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||49,097|-157,122
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||20,662|-98,833
七、综合收益总额||3,727,124|-12,149,998
page|92
（一）归属于母公司所有者的综合收益总额||3,089,306|-10,035,975
（二）归属于少数股东的综合收益总额||637,818|-2,114,023
八、每股收益：|||
（一）基本每股收益(元/股)||1.06|-3.38
（二）稀释每股收益(元/股)||1.06|-3.38
