page|88
项目|附注（七）|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|（一）|5,304,957,580.29|7,800,941,153.72
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|（四）|44,605,450.00|92,986,000.00
应收账款|（五）|1,986,005,370.59|2,624,192,404.36
应收款项融资|（六）|268,291,675.15|424,654,199.60
预付款项|（七）|894,514,689.27|1,292,775,923.27
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|539,326,336.61|865,216,871.09
其中：应收利息||1,822,256.94|1,822,256.94
应收股利|||
买入返售金融资产|||
存货|（九）|1,299,106,638.95|1,486,669,543.60
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十三）|124,470,269.07|123,014,132.45
流动资产合计||10,461,278,009.93|14,710,450,228.09
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|（十六）|34,402,100.00|73,002,100.00
长期股权投资|（十七）|956,262,636.60|140,936,313.19
其他权益工具投资|（十八）|390,600,586.16|391,244,933.14
其他非流动金融资产|||
投资性房地产|（二十二）|182,430,304.57|34,032,769.87
固定资产|（二十三）|15,338,915,584.58|15,486,458,000.61
在建工程|（二十四）|3,801,616,554.62|3,682,961,201.45
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|（二十六）|6,206,223,477.23|6,537,021,101.61
开发支出|（二十七）|3,199,015.87|2,022,024.72
商誉|||
长期待摊费用|（二十九）|889,197,717.88|661,326,175.90
page|89
递延所得税资产|（三十）|136,954,231.05|106,596,182.51
其他非流动资产|（三十一）|1,709,670,312.76|1,415,153,584.80
非流动资产合计||29,649,472,521.32|28,530,754,387.80
资产总计||40,110,750,531.25|43,241,204,615.89
流动负债：|||
短期借款|（三十二）|4,771,336,366.36|9,584,063,179.84
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|（三十五）|55,359,230.27|406,148,071.78
应付账款|（三十六）|4,063,775,909.92|3,040,302,195.97
预收款项|（三十七）|1,071,882.28|2,421,937,005.75
合同负债|（三十八）|2,370,430,392.32|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|396,163,487.65|378,018,050.64
应交税费|（四十）|729,692,393.97|980,498,691.08
其他应付款|（四十一）|1,608,353,527.79|1,545,730,144.53
其中：应付利息||17,545,594.44|17,545,594.44
应付股利||147,681,758.61|148,880,063.21
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十三）|3,495,245,834.85|4,738,576,565.23
其他流动负债|（四十四）|291,197,110.37|
流动负债合计||17,782,626,135.78|23,095,273,904.82
非流动负债：|||
保险合同准备金|||
长期借款|（四十五）|8,843,227,847.85|7,069,346,388.33
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|（四十八）|402,804,414.98|591,843,837.53
长期应付职工薪酬|||
预计负债|（五十）|2,121,980,165.99|1,979,370,321.54
递延收益|（五十一）|94,609,750.28|97,313,750.24
递延所得税负债||6,580,617.65|7,049,935.48
其他非流动负债|||
非流动负债合计||11,469,202,796.75|9,744,924,233.12
负债合计||29,251,828,932.53|32,840,198,137.94
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|1,982,456,140.00|1,982,456,140.00
其他权益工具|（五十四）|2,000,000,000.00|2,000,000,000.00
page|90
其中：优先股|||
永续债||2,000,000,000.00|2,000,000,000.00
资本公积|（五十五）|3,351,816,722.78|3,351,816,722.78
减：库存股|（五十六）||
其他综合收益|（五十七）|-8,622,583.61|-7,813,981.53
专项储备|（五十八）|287,071,803.09|203,378,105.67
盈余公积|（五十九）|332,293,931.58|223,555,526.53
一般风险准备|||
未分配利润|（六十）|1,120,361,176.66|683,534,846.19
归属于母公司所有者权益（或股东权益）合计||9,065,377,190.50|8,436,927,359.64
少数股东权益||1,793,544,408.22|1,964,079,118.31
所有者权益（或股东权益）合计||10,858,921,598.72|10,401,006,477.95
负债和所有者权益（或股东权益）总计||40,110,750,531.25|43,241,204,615.89
