page|93
项目|附注（七）|2020 年度|2019 年度
一、营业总收入||35,422,064,074.42|37,657,160,813.65
其中：营业收入|（六十一）|35,422,064,074.42|37,657,160,813.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||32,476,135,469.80|34,149,715,634.83
其中：营业成本|（六十一）|28,351,113,825.70|29,361,001,330.28
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|1,020,468,491.91|1,104,491,322.94
销售费用|（六十三）|416,217,774.27|1,018,294,278.67
管理费用|（六十四）|1,501,434,708.44|1,375,267,890.05
研发费用|（六十五）|134,785,025.19|138,977,996.53
财务费用|（六十六）|1,052,115,644.29|1,151,682,816.36
其中：利息费用||1,129,882,643.89|1,203,284,409.14
利息收入||95,510,935.30|100,258,369.55
加：其他收益|（六十七）|19,150,287.19|13,332,409.99
投资收益（损失以“－”号填列）|（六十八）|925,823.41|109,725,110.00
其中：对联营企业和合营企业的投资收益||925,823.41|2,070,315.50
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（七十一）|-919,104,306.41|-788,669,000.71
资产减值损失（损失以“-”号填列）|（七十二）|-63,944,046.17|-71,602,758.33
资产处置收益（损失以“－”号填列）|（七十三）|53,221.93|3,373,809.40
三、营业利润（亏损以“－”号填列）||1,983,009,584.57|2,773,604,749.17
加：营业外收入|（七十四）|8,453,225.17|11,548,062.18
减：营业外支出|（七十五）|208,324,737.11|266,587,546.25
四、利润总额（亏损总额以“－”号填列）||1,783,138,072.63|2,518,565,265.10
page|94
减：所得税费用|（七十六）|847,776,387.49|938,703,217.06
五、净利润（净亏损以“－”号填列）||935,361,685.14|1,579,862,048.04
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||935,361,685.14|1,579,862,048.04
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||826,512,103.92|1,172,715,112.81
2.少数股东损益（净亏损以“-”号填列）||108,849,581.22|407,146,935.23
六、其他综合收益的税后净额||-443,850.55|-8,551,327.17
（一）归属母公司所有者的其他综合收益的税后净额||-808,602.08|-7,813,981.53
1．不能重分类进损益的其他综合收益||-808,602.08|-7,813,981.53
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-808,602.08|-7,813,981.53
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||364,751.53|-737,345.64
七、综合收益总额||934,917,834.59|1,571,310,720.87
（一）归属于母公司所有者的综合收益总额||825,703,501.84|1,164,901,131.28
（二）归属于少数股东的综合收益总额||109,214,332.75|406,409,589.59
八、每股收益：|||
（一）基本每股收益(元/股)||0.42|0.59
（二）稀释每股收益(元/股)||0.42|0.59
