page|97
项目|附注（七）|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||38,767,126,932.43|34,674,446,523.62
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,244,366.39|1,920,302.85
收到其他与经营活动有关的现金|（七十八）|2,176,720,983.57|6,177,993,630.82
经营活动现金流入小计||40,947,092,282.39|40,854,360,457.29
购买商品、接受劳务支付的现金||27,625,466,571.05|27,029,338,926.48
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,934,316,304.61|1,726,451,858.56
支付的各项税费||3,352,735,241.73|3,657,997,292.27
支付其他与经营活动有关的现金|（七十八）|3,757,386,491.63|5,217,171,934.30
经营活动现金流出小计||36,669,904,609.02|37,630,960,011.61
经营活动产生的现金流量净额||4,277,187,673.37|3,223,400,445.68
二、投资活动产生的现金流量：|||
收回投资收到的现金|||954,439.49
取得投资收益收到的现金|||110,548,219.15
处置固定资产、无形资产和其他长期资产收回的现金净额||305,548.20|126,436.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七十八）||2,000,000,000.00
投资活动现金流入小计||305,548.20|2,111,629,094.64
购建固定资产、无形资产和其他长期资产支付的现金||662,099,216.04|679,603,250.41
投资支付的现金||814,400,500.00|80,000,000.00
质押贷款净增加额|||
page|98
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十八）||7,101,733.42
投资活动现金流出小计||1,476,499,716.04|766,704,983.83
投资活动产生的现金流量净额||-1,476,194,167.84|1,344,924,110.81
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||23,000,000.00|8,398,939.80
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||14,116,471,900.00|14,731,903,363.24
收到其他与筹资活动有关的现金|（七十八）|55,090,000.00|10,303,136.00
筹资活动现金流入小计||14,194,561,900.00|14,750,605,439.04
偿还债务支付的现金||17,968,752,542.59|16,454,257,408.44
分配股利、利润或偿付利息支付的现金||1,396,181,550.08|1,514,888,862.69
其中：子公司支付给少数股东的股利、利润|||190,000,000.00
支付其他与筹资活动有关的现金|（七十八）|463,827,538.93|468,136,540.63
筹资活动现金流出小计||19,828,761,631.60|18,437,282,811.76
筹资活动产生的现金流量净额||-5,634,199,731.60|-3,686,677,372.72
四、汇率变动对现金及现金等价物的影响||-94,344.98|405,238.38
五、现金及现金等价物净增加额|（七十九）|-2,833,300,571.05|882,052,422.15
加：期初现金及现金等价物余额|（七十九）|7,066,244,771.05|6,184,192,348.90
六、期末现金及现金等价物余额|（七十九）|4,232,944,200.00|7,066,244,771.05
