page|72
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,686,760,018.56|5,392,163,347.74
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,893,978.32|14,985,192.81
收到其他与经营活动有关的现金|（七十七）|175,162,175.00|273,215,961.10
经营活动现金流入小计||5,863,816,171.88|5,680,364,501.65
购买商品、接受劳务支付的现金||4,501,319,830.35|4,402,027,321.05
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||532,831,249.39|478,335,981.31
支付的各项税费||170,389,286.31|205,541,573.34
支付其他与经营活动有关的现金|（七十七）|355,450,755.91|401,355,703.15
经营活动现金流出小计||5,559,991,121.96|5,487,260,578.85
经营活动产生的现金流量净额||303,825,049.92|193,103,922.80
二、投资活动产生的现金流量：|||
收回投资收到的现金||807,702,160.00|1,881,715,069.22
取得投资收益收到的现金||38,151,429.84|76,903,921.97
处置固定资产、无形资产和其他长期资产收回的现金净额||6,454,192.62|7,691,641.63
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||852,307,782.46|1,966,310,632.82
购建固定资产、无形资产和其他长期资产支付的现金||28,497,582.50|73,585,784.42
投资支付的现金||1,112,148,382.05|783,790,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,140,645,964.55|857,375,784.42
page|73
投资活动产生的现金流量净额||-288,338,182.09|1,108,934,848.40
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||100,000.00|2,959,320.00
其中：子公司吸收少数股东投资收到的现金||100,000.00|2,959,320.00
取得借款收到的现金|||2,000,000.00
收到其他与筹资活动有关的现金|（七十七）|11,500,000.00|25,913,675.21
筹资活动现金流入小计||11,600,000.00|30,872,995.21
偿还债务支付的现金|||2,000,000.00
分配股利、利润或偿付利息支付的现金||102,337,028.40|118,235,183.78
其中：子公司支付给少数股东的股利、利润||19,604,607.94|34,453,419.00
支付其他与筹资活动有关的现金|（七十七）||11,800,000.00
筹资活动现金流出小计||102,337,028.40|132,035,183.78
筹资活动产生的现金流量净额||-90,737,028.40|-101,162,188.57
四、汇率变动对现金及现金等价物的影响||176,958.42|-898,357.29
五、现金及现金等价物净增加额||-75,073,202.15|1,199,978,225.34
加：期初现金及现金等价物余额||2,635,710,417.86|1,435,732,192.52
六、期末现金及现金等价物余额||2,560,637,215.71|2,635,710,417.86
