page|68
项目|附注五|2019 年度|2018 年度
一、营业总收入||4,889,124,109.96|4,465,559,975.17
其中：营业收入|（六十）|4,889,124,109.96|4,465,559,975.17
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,665,185,243.12|4,290,769,349.78
其中：营业成本|（六十）|3,965,572,662.46|3,637,704,751.18
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十一）|14,972,900.31|15,505,584.40
销售费用|（六十二）|156,783,006.07|133,024,499.49
管理费用|（六十三）|265,124,356.42|247,475,792.16
研发费用|（六十四）|329,255,036.64|301,428,353.23
财务费用|（六十五）|-66,522,718.78|-44,369,630.68
其中：利息费用||755,069.86|353,684.02
利息收入||68,925,821.61|47,353,902.90
加：其他收益|（六十六）|43,034,960.18|85,193,414.10
|投资收益（损失以“－”号填列）  （六十七）|69,568,258.11|90,599,074.03
其中：对联营企业和合营企业的投资收益||28,773,174.65|26,283,082.49
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（六十九）|5,561,506.84|
|信用减值损失（损失以“-”号填列）  （七十）|-31,655,779.04|
|资产减值损失（损失以“-”号填列）  （七十一）|-6,686,753.64|-31,619,217.88
资产处置收益（损失以“－”号填列）|（七十二）|44,280.93|528,704.05
三、营业利润（亏损以“－”号填列）||303,805,340.22|319,492,599.69
加：营业外收入|（七十三）|11,495,795.68|19,992,844.77
减：营业外支出|（七十四）|774,237.71|421,446.62
四、利润总额（亏损总额以“－”号填列）||314,526,898.19|339,063,997.84
减：所得税费用|（七十五）|35,787,438.19|39,932,721.37
五、净利润（净亏损以“－”号填列）||278,739,460.00|299,131,276.47
（一）按经营持续性分类|||
page|69
1.持续经营净利润（净亏损以“－”号填列）||278,739,460.00|299,131,276.47
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||241,790,818.42|272,238,536.87
2.少数股东损益（净亏损以“-”号填列）||36,948,641.58|26,892,739.60
六、其他综合收益的税后净额|||-6,805,634.11
（一）归属母公司所有者的其他综合收益的税后净额|||-6,805,634.11
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-6,805,634.11
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-6,805,634.11
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||278,739,460.00|292,325,642.36
（一）归属于母公司所有者的综合收益总额||241,790,818.42|265,432,902.76
（二）归属于少数股东的综合收益总额||36,948,641.58|26,892,739.60
八、每股收益：|||
（一）基本每股收益(元/股)|（七十六）|0.177|0.199
（二）稀释每股收益(元/股)|（七十六）|0.177|0.199
