page|57
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,112,129,346.52|9,491,124,913.54
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（七十七）|340,656,983.13|343,811,976.65
经营活动现金流入小计||11,452,786,329.65|9,834,936,890.19
购买商品、接受劳务支付的现金||1,847,425,059.44|1,449,265,869.78
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,945,359,641.37|1,572,892,541.64
支付的各项税费||1,559,732,812.27|1,435,228,734.72
支付其他与经营活动有关的现金|（七十七）|1,215,223,033.77|910,032,714.33
经营活动现金流出小计||6,567,740,546.85|5,367,419,860.47
经营活动产生的现金流量净额||4,885,045,782.80|4,467,517,029.72
二、投资活动产生的现金流量：|||
收回投资收到的现金||100,501,247.03|28,763,322.25
取得投资收益收到的现金||450,897,522.60|904,936,874.70
处置固定资产、无形资产和其他长期资产收回的现金净额||1,041,727.60|45,129.55
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||552,440,497.23|933,745,326.50
购建固定资产、无形资产和其他长期资产支付的现金||2,302,126,352.25|3,569,519,534.45
投资支付的现金||60,000,000.00|566,774,384.91
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
page|58
投资活动现金流出小计||2,362,126,352.25|4,136,293,919.36
投资活动产生的现金流量净额||-1,809,685,855.02|-3,202,548,592.86
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||1,481,095,483.90|1,263,489,056.78
其中：子公司支付给少数股东的股利、利润||173,854,553.32|160,008,226.26
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||1,481,095,483.90|1,263,489,056.78
筹资活动产生的现金流量净额||-1,481,095,483.90|-1,263,489,056.78
四、汇率变动对现金及现金等价物的影响||19,181.71|67,392.27
五、现金及现金等价物净增加额||1,594,283,625.59|1,546,772.35
加：期初现金及现金等价物余额||8,765,514,059.15|8,763,967,286.80
六、期末现金及现金等价物余额||10,359,797,684.74|8,765,514,059.15
