page|53
项目|附注五|2019 年度|2018 年度
一、营业总收入||10,944,668,477.76|9,313,114,686.74
其中：营业收入|（六十）|10,944,668,477.76|9,313,114,686.74
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||5,406,692,615.65|4,571,913,705.53
其中：营业成本|（六十）|5,340,221,124.91|4,499,345,858.59
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十一）|10,066,107.96|22,180,330.78
销售费用|（六十二）|75,738.82|1,073,931.14
管理费用|（六十三）|265,034,895.54|243,300,866.37
研发费用|||
财务费用|（六十五）|-208,705,251.58|-193,987,281.35
page|54
其中：利息费用|||
利息收入|（六十五）|208,978,282.71|193,992,274.73
加：其他收益|（六十六）|3,591,023.62|3,249,570.16
|投资收益（损失以“－”号填列）  （六十七）|1,149,911,810.74|893,246,152.82
其中：对联营企业和合营企业的投资收益|（六十七）|1,149,911,810.74|890,641,265.55
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（七十）|-16,888,667.31|
资产减值损失（损失以“-”号填列）|（七十一）||-363,056.46
资产处置收益（损失以“－”号填列）|（七十二）||-2,895,251.38
三、营业利润（亏损以“－”号填列）||6,674,590,029.16|5,634,438,396.35
加：营业外收入|（七十三）|2,403,731.71|773,507.82
减：营业外支出|（七十四）|9,416,454.85|5,302,679.90
四、利润总额（亏损总额以“－”号填列）||6,667,577,306.02|5,629,909,224.27
减：所得税费用|（七十五）|1,406,712,846.23|1,198,530,671.28
五、净利润（净亏损以“－”号填列）||5,260,864,459.79|4,431,378,552.99
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||5,260,864,459.79|4,431,378,552.99
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||5,030,210,052.62|4,231,432,034.89
2.少数股东损益（净亏损以“-”号填列）||230,654,407.17|199,946,518.10
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
page|55
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||5,260,864,459.79|4,431,378,552.99
（一）归属于母公司所有者的综合收益总额||5,030,210,052.62|4,231,432,034.89
（二）归属于少数股东的综合收益总额||230,654,407.17|199,946,518.10
八、每股收益：|||
（一）基本每股收益(元/股)||2.61|2.20
（二）稀释每股收益(元/股)||2.61|2.20
