page|101
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||17,872,983,780.42|11,986,006,541.42
收到的税费返还||33,712,428.94|44,854,417.63
收到其他与经营活动有关的现金|七、56（1）|65,219,528.50|105,245,377.67
经营活动现金流入小计||17,971,915,737.86|12,136,106,336.72
购买商品、接受劳务支付的现金||17,034,760,458.56|11,328,917,511.99
支付给职工及为职工支付的现金||203,916,981.27|162,409,195.49
支付的各项税费||126,318,488.21|93,173,318.68
支付其他与经营活动有关的现金|七、56（2）|72,978,226.33|99,513,707.57
经营活动现金流出小计||17,437,974,154.37|11,684,013,733.73
经营活动产生的现金流量净额||533,941,583.49|452,092,602.99
二、投资活动产生的现金流量：|||
收回投资收到的现金||32,171,811.00|335,760,152.64
取得投资收益收到的现金||60,904.11|6,582,698.96
处置固定资产、无形资产和其他长期资产收回的现金净额||586,909.22|5,964,117.00
处置子公司及其他营业单位收到的现金净额||35,018,101.15|0.00
收到其他与投资活动有关的现金|七、56（3）|1,609.42|
投资活动现金流入小计||67,839,334.90|348,306,968.60
购建固定资产、无形资产和其他长期资产支付的现金||208,268,665.80|23,894,185.07
投资支付的现金||32,600,378.00|748,461,316.16
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、56（4）||3,268,350.81
投资活动现金流出小计||240,869,043.80|775,623,852.04
投资活动产生的现金流量净额||-173,029,708.90|-427,316,883.44
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||2,226,431,754.88|2,208,036,556.16
收到其他与筹资活动有关的现金|七、56（5）|164,391,763.78|116,004,180.14
筹资活动现金流入小计||2,390,823,518.66|2,324,040,736.30
page|102
偿还债务支付的现金||2,002,692,800.00|1,537,847,886.51
分配股利、利润或偿付利息支付的现金||91,280,341.73|68,552,673.43
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、56（6）|328,940,792.32|117,489,963.78
筹资活动现金流出小计||2,422,913,934.05|1,723,890,523.72
筹资活动产生的现金流量净额||-32,090,415.39|600,150,212.58
四、汇率变动对现金及现金等价物的影响||713,515.41|-372.05
五、现金及现金等价物净增加额||329,534,974.61|624,925,560.08
加：期初现金及现金等价物余额||984,780,426.25|359,854,866.17
六、期末现金及现金等价物余额||1,314,315,400.86|984,780,426.25
