page|113
2021 年年度报告  二、 财务报表 合并资产负债表 2021 年 12 月 31 日 编制单位:  杭州豪悦护理用品股份有限公司 单位:元   币种:人民币|||||
|项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日|
|流动资产：||||
|货币资金||1,365,781,638.35|1,627,748,455.39|
|结算备付金||||
|拆出资金||||
|交易性金融资产||650,164,715.63|150,000,000.00|
|衍生金融资产||||
|应收票据||||
|应收账款||228,506,205.84|58,593,862.92|
|应收款项融资||60,866,943.70|38,794,257.71|
|预付款项||12,654,697.68|12,250,290.54|
|应收保费||||
|应收分保账款||||
|应收分保合同准备金||||
|其他应收款||6,209,511.57|12,427,639.12|
|其中：应收利息||||
|应收股利||||
|买入返售金融资产||||
|存货||282,555,593.18|227,663,497.73|
|合同资产||||
|持有待售资产||||
|一年内到期的非流动资产||||
|其他流动资产||11,160,470.76|104,168,508.27|
|流动资产合计||2,617,899,776.71|2,231,646,511.68|
|非流动资产：||||
|发放贷款和垫款||||
|债权投资||||
|其他债权投资||||
|长期应收款||||
|长期股权投资||||
|其他权益工具投资||||
|其他非流动金融资产||||
|投资性房地产||||
|固定资产||943,571,322.09|800,572,936.14|
|在建工程||265,008,954.74|266,148,579.00|
113 / 275|||||
page|114
2021 年年度报告|||||
|生产性生物资产||||
|油气资产||||
|使用权资产||11,587,396.66||
|无形资产||90,235,743.47|59,918,527.66|
|开发支出||||
|商誉||||
|长期待摊费用||61,145.26|161,009.32|
|递延所得税资产||23,576,016.09|11,758,868.25|
|其他非流动资产||999,378.87|15,939,139.03|
|非流动资产合计||1,335,039,957.18|1,154,499,059.40|
|资产总计||3,952,939,733.89|3,386,145,571.08|
|流动负债：||||
|短期借款|||58,551,911.89|
|向中央银行借款||||
|拆入资金||||
|交易性金融负债||||
|衍生金融负债||||
|应付票据||333,473,162.28|102,594,206.37|
|应付账款||382,232,655.65|222,336,765.46|
|预收款项||||
|合同负债||68,400,312.96|66,932,928.84|
|卖出回购金融资产款||||
|吸收存款及同业存放||||
|代理买卖证券款||||
|代理承销证券款||||
|应付职工薪酬||29,010,267.02|23,193,480.42|
|应交税费||32,043,332.12|40,812,172.30|
|其他应付款||42,677,235.70|18,269,153.88|
|其中：应付利息||||
|应付股利||||
