page|91
项目|附注|2021 年度|2020 年度
一、营业总收入||1,205,996,754.05|949,547,015.95
其中：营业收入||1,205,996,754.05|949,547,015.95
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,028,594,141.56|708,224,961.82
其中：营业成本||766,772,096.31|609,030,648.66
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||18,147,817.35|10,059,138.95
销售费用||12,630,608.82|9,815,736.65
管理费用||182,628,210.63|55,964,002.64
研发费用||57,166,477.77|46,279,577.67
财务费用||-8,751,069.32|-22,924,142.75
其中：利息费用||1,266,304.26|1,053,976.65
利息收入||14,702,617.21|26,223,392.13
加：其他收益||21,633,325.71|9,669,002.38
page|92
投资收益（损失以“－”号填列）||7,697,331.93|21,480,493.42
其中：对联营企业和合营企业的投资收益||-2,795,689.61|
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||2,632,274.26|-3,410,502.07
信用减值损失（损失以“-”号填列）||-1,273,578.75|-66,637.82
资产减值损失（损失以“-”号填列）||-6,613,156.23|-23,076,017.36
资产处置收益（损失以“－”号填列）||-122,715.80|-13,649,215.71
三、营业利润（亏损以“－”号填列）||201,356,093.61|232,269,176.97
加：营业外收入||288,607.33|35,547.05
减：营业外支出||1,151,049.84|821,763.69
四、利润总额（亏损总额以“－”号填列）||200,493,651.10|231,482,960.33
减：所得税费用||25,250,506.99|30,463,580.42
五、净利润（净亏损以“－”号填列）||175,243,144.11|201,019,379.91
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||175,243,144.11|201,019,379.91
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||176,119,737.34|201,019,415.61
2.少数股东损益（净亏损以“-”号填列）||-876,593.23|-35.7
六、其他综合收益的税后净额||-482,398.19|-1,193,082.67
（一）归属母公司所有者的其他综合收益的税后净额||-482,398.19|-1,193,082.67
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划|||
page|93
变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-482,398.19|-1,193,082.67
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-482,398.19|-1,193,082.67
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||174,760,745.92|199,826,297.24
（一）归属于母公司所有者的综合收益总额||175,637,339.15|199,826,332.94
（二）归属于少数股东的综合收益总额||-876,593.23|-35.7
八、每股收益：|||
（一）基本每股收益(元/股)||0.571|0.650
（二）稀释每股收益(元/股)||0.563|0.650
