page|96
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||17,921,296,094.54  14,497,169,821.48
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||126,167,484.69|110,437,230.13
|收到其他与经营活动有关的现金  七、78（1）|122,075,987.13|97,201,548.80
经营活动现金流入小计|||18,169,539,566.36  14,704,808,600.41
购买商品、接受劳务支付的现金|||16,267,226,410.69  11,978,460,842.10
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||629,341,332.84|742,203,122.22
支付的各项税费||267,854,762.40|404,586,846.79
|支付其他与经营活动有关的现金  七、78（2）|691,302,741.95|804,348,196.23
经营活动现金流出小计||17,855,725,247.88|13,929,599,007.34
经营活动产生的现金流量净额||313,814,318.48|775,209,593.07
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,155,759,819.27|8,034,382,475.16
取得投资收益收到的现金||674,439,362.12|536,871,197.24
处置固定资产、无形资产和其他长期资产收回的现金净额||8,528,345.33|569,115.85
处置子公司及其他营业单位收到的现金净额|||1,697,176,982.08
|收到其他与投资活动有关的现金  七、78（3）|16,172,484.66|10,220,984.07
投资活动现金流入小计||3,854,900,011.38|10,279,220,754.40
购建固定资产、无形资产和其他长期资产支付的现金||613,527,022.64|330,250,747.82
投资支付的现金||5,806,063,769.22|8,329,209,019.20
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
|支付其他与投资活动有关的现金  七、78（4）|583,001.51|586,301.00
投资活动现金流出小计||6,420,173,793.37|8,660,046,068.02
page|97
投资活动产生的现金流量净额||-2,565,273,781.99|1,619,174,686.38
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,371,332,500.00|
其中：子公司吸收少数股东投资收到的现金||4,371,332,500.00|
取得借款收到的现金||12,385,999,498.02|6,932,208,790.00
|收到其他与筹资活动有关的现金  七、78（5）|2,250,591.46|
筹资活动现金流入小计||16,759,582,589.48|6,932,208,790.00
偿还债务支付的现金||10,077,231,050.00|8,267,187,500.00
分配股利、利润或偿付利息支付的现金||1,014,903,574.43|827,587,773.71
其中：子公司支付给少数股东的股利、利润||36,254,120.00|102,025,959.86
|支付其他与筹资活动有关的现金  七、78（6）|61,329,101.74|30,079,331.33
筹资活动现金流出小计||11,153,463,726.17|9,124,854,605.04
筹资活动产生的现金流量净额|||5,606,118,863.31  -2,192,645,815.04
四、汇率变动对现金及现金等价物的影响||-2,093,293.12|-2,032,337.23
五、现金及现金等价物净增加额||3,352,566,106.68|199,706,127.18
加：期初现金及现金等价物余额||2,111,172,395.00|1,911,466,267.82
六、期末现金及现金等价物余额||5,463,738,501.68|2,111,172,395.00
