page|70
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||15,772,239,465.45|14,803,163,762.31
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||1,504,812,420.37|868,990,735.56
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||6,594,900,794.63|8,459,670,405.05
经营活动现金流入小计||23,871,952,680.45|24,131,824,902.92
购买商品、接受劳务支付的现金||15,995,798,934.63|13,558,250,046.87
客户贷款及垫款净增加额||585,626,776.27|7,644,612,149.32
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||151,849,762.68|103,048,800.48
支付保单红利的现金|||
支付给职工及为职工支付的现金||46,829,133.67|36,897,494.41
支付的各项税费||125,517,133.15|238,571,739.58
page|71
支付其他与经营活动有关的现金||6,244,841,868.63|1,804,006,379.88
经营活动现金流出小计||23,150,463,609.03|23,385,386,610.54
经营活动产生的现金流量净额||721,489,071.42|746,438,292.38
二、投资活动产生的现金流量：|||
收回投资收到的现金||0.00|3,380,000.00
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||400.00|0.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||400.00|3,380,000.00
购建固定资产、无形资产和其他长期资产支付的现金||1,488,613.97|71,234,698.11
投资支付的现金||9,000,000.00|130,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||2,000,000.00|
投资活动现金流出小计||12,488,613.97|201,234,698.11
投资活动产生的现金流量净额||-12,488,213.97|-197,854,698.11
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,187,081,447.10|283,540,000.00
收到其他与筹资活动有关的现金|||4,555,019,610.12
筹资活动现金流入小计||1,187,081,447.10|4,838,559,610.12
偿还债务支付的现金||831,633,203.32|2,326,164,000.00
分配股利、利润或偿付利息支付的现金||28,766,588.34|586,308,031.90
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||940,246,004.02|3,265,078,764.34
筹资活动现金流出小计||1,800,645,795.68|6,177,550,796.24
筹资活动产生的现金流量净额||-613,564,348.58|-1,338,991,186.12
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||95,436,508.87|-790,407,591.85
加：期初现金及现金等价物余额||108,713,660.07|899,121,251.92
六、期末现金及现金等价物余额||204,150,168.94|108,713,660.07
