page|71
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||12,121,926,456.51|13,312,507,240.64
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|72
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||53,878,418.71|123,310,331.89
|收到其他与经营活动有关的现金  七、78（1）|257,069,779.73|273,970,458.56
经营活动现金流入小计||12,432,874,654.95|13,709,788,031.09
购买商品、接受劳务支付的现金||6,934,516,679.63|8,638,171,365.17
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,364,942,017.98|2,644,578,599.36
支付的各项税费||801,765,010.77|1,164,284,571.76
|支付其他与经营活动有关的现金  七、78（2）|245,511,069.16|283,176,790.65
经营活动现金流出小计||10,346,734,777.54|12,730,211,326.94
经营活动产生的现金流量净额||2,086,139,877.41|979,576,704.15
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,251,620.00|1,560,100.00
取得投资收益收到的现金||1,375,926.75|22,451.64
处置固定资产、无形资产和其他长期资产收回的现金净额||6,264,544.43|11,850,692.67
处置子公司及其他营业单位收到的现金净额||52,099.57|
|收到其他与投资活动有关的现金  七、78（3）|2,146,436.14|
投资活动现金流入小计||12,090,626.89|13,433,244.31
购建固定资产、无形资产和其他长期资产支付的现金||130,012,012.79|259,999,371.75
投资支付的现金||2,251,620.00|1,560,100.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
|支付其他与投资活动有关的现金  七、78（4）|10,997.00|37,825.41
投资活动现金流出小计||132,274,629.79|261,597,297.16
投资活动产生的现金流量净额||-120,184,002.90|-248,164,052.85
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||5,623,560,745.54|6,263,093,297.11
发行债券收到的现金||594,600,000.00|594,000,000.00
|收到其他与筹资活动有关的现金  七、78（5）|65,921,460.21|259,700,000.00
筹资活动现金流入小计||6,284,082,205.75|7,116,793,297.11
page|73
偿还债务支付的现金||7,509,566,755.82|7,062,013,172.42
分配股利、利润或偿付利息支付的现金||680,365,529.25|843,694,239.90
其中：子公司支付给少数股东的股利、利润||8,853,948.05|6,168,860.78
|支付其他与筹资活动有关的现金  七、78（6）|1,757,699.86|1,752,713.32
筹资活动现金流出小计||8,191,689,984.93|7,907,460,125.64
筹资活动产生的现金流量净额||-1,907,607,779.18|-790,666,828.53
四、汇率变动对现金及现金等价物的影响||-3,185,202.10|2,832,433.98
五、现金及现金等价物净增加额||55,162,893.23|-56,421,743.25
加：期初现金及现金等价物余额||2,403,035,189.39|2,459,456,932.64
六、期末现金及现金等价物余额||2,458,198,082.62|2,403,035,189.39
