page|95
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||641,047,508.35|534,239,765.64
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,625,648.01|19,819,442.31
收到其他与经营活动有关的现金|（七、78）|36,313,423.58|36,503,917.35
经营活动现金流入小计||690,986,579.94|590,563,125.30
购买商品、接受劳务支付的现金||100,062,217.37|62,685,038.19
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||41,372,792.49|34,840,931.01
支付的各项税费||49,613,831.00|61,640,716.97
支付其他与经营活动有关的现金|（七、78）|13,606,551.72|17,114,951.68
经营活动现金流出小计||204,655,392.58|176,281,637.85
page|96
经营活动产生的现金流量净额||486,331,187.36|414,281,487.45
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||1,022,302.97|
处置固定资产、无形资产和其他长期资产收回的现金净额||38,700.00|1,500.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||214,956,973.08|49,236,129.14
投资活动现金流入小计||216,017,976.05|49,237,629.14
购建固定资产、无形资产和其他长期资产支付的现金||2,073,538,682.32|1,152,209,831.97
投资支付的现金||9,808,200.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||20,762,649.49
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,083,346,882.32|1,172,972,481.46
投资活动产生的现金流量净额||-1,867,328,906.27|-1,123,734,852.32
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||116,386,700.00|19,532,380.00
其中：子公司吸收少数股东投资收到的现金||116,386,700.00|19,532,380.00
取得借款收到的现金||2,010,750,000.00|1,205,500,000.00
收到其他与筹资活动有关的现金|（七、78）||
筹资活动现金流入小计||2,127,136,700.00|1,225,032,380.00
偿还债务支付的现金||396,991,664.36|387,973,896.36
分配股利、利润或偿付利息支付的现金||226,424,515.16|150,188,237.03
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（七、78）|3,980,000.00|420,000.00
筹资活动现金流出小计||627,396,179.52|538,582,133.39
筹资活动产生的现金流量净额||1,499,740,520.48|686,450,246.61
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||118,742,801.57|-23,003,118.26
加：期初现金及现金等价物余额||287,727,095.41|310,730,213.67
page|97
六、期末现金及现金等价物余额||406,469,896.98|287,727,095.41
