page|86
项  目|附注|2019年12月31日|2018年12月31日|项  目|附注|2019年12月31日|2018年12月31日
流动资产：||||流动负债：|||
货币资金|五、1|4,631,030,527.23|2,630,793,022.95|短期借款|五、20|606,663,771.77|610,000,000.00
交易性金融资产|五、2|485,791,927.38|不适用|交易性金融负债|||不适用
以公允价值计量且其变动计入当期损益的金融资产||不适用|-|以公允价值计量且其变动计入当期损益的金融负债||不适用|-
应收票据|五、3|14,247,220.66|49,180,640.59|应付票据|五、21|165,562,233.01|61,628,607.82
应收账款|五、4|730,113,324.54|741,503,716.05|应付账款|五、22|937,361,413.24|943,330,064.42
应收款项融资|||不适用|预收款项|五、23|351,491,706.70|296,081,456.94
预付款项|五、5|61,821,706.69|62,173,324.54|应付职工薪酬|五、24|166,865,100.51|120,987,142.21
其他应收款|五、6|629,836,706.48|3,124,864,143.77|应交税费|五、25|95,972,712.61|64,947,228.90
其中：应收利息||6,151,763.24|24,744,093.85|其他应付款|五、26|3,055,741,757.22|3,128,926,840.92
应收股利||||其中：应付利息||-|2,707,827.57
存货|五、7|1,037,457,680.17|1,083,601,710.12|应付股利||12,191,700.92|4,615,103.92
一年内到期的非流动资产|||-|一年内到期的非流动负债|五、27|476,330,096.69|97,666,666.68
其他流动资产|五、8|159,846,467.15|274,667,731.24|其他流动负债|五、28|823,271.13|513,766.98
流动资产合计||7,750,145,560.30|7,966,784,289.26|流动负债合计||5,856,812,062.88|5,324,081,774.87
非流动资产：||||非流动负债：|||
发放贷款和垫款|五、9|2,219,247,421.74|1,029,351,273.20|长期借款|五、29|38,333,333.30|233,999,999.98
债权投资|||不适用|应付债券|||-
可供出售金融资产|五、10|不适用|339,711,584.23|其中：优先股|||
其他债权投资|||不适用|永续债|||
持有至到期投资||不适用|-|长期应付款|||-
长期应收款|||-|长期应付职工薪酬|||-
长期股权投资|五、11|189,034,233.94|235,374,278.78|预计负债|||-
其他权益工具投资|||不适用|递延收益|五、30|80,000.00|2,045,000.00
其他非流动金融资产|五、12|264,576,764.82|不适用|递延所得税负债|五、18|39,910,261.24|31,497,881.24
投资性房地产|五、13|92,796,481.51|62,523,366.99|其他非流动负债|||-
固定资产|五、14|800,270,501.64|591,076,452.56|非流动负债合计||78,323,594.54|267,542,881.22
在建工程|||-|负债合计||5,935,135,657.42|5,591,624,656.09
生产性生物资产||||股东权益：|||
油气资产||||股本|五、31|1,051,729,717.00|1,044,124,717.00
无形资产|五、15|172,113,105.41|193,638,707.30|其他权益工具|||
开发支出|||-|其中：优先股|||
商誉|五、16|614,233,766.92|552,745,414.55|永续债|||
长期待摊费用|五、17|22,469,483.67|17,192,162.57|资本公积|五、32|1,912,287,775.65|1,774,156,949.22
递延所得税资产|五、18|122,146,083.28|65,802,446.78|减：库存股|五、33|299,736,641.00|240,864,254.00
其他非流动资产|五、19|2,739,677.46|2,466,149.46|其他综合收益|五、34|2,773,563.95|88,255,740.58
非流动资产合计||4,499,627,520.39|3,089,881,836.42|专项储备|||-
||||盈余公积|五、35|152,516,890.61|130,681,180.28
||||一般风险准备|五、36|16,869,813.30|-
||||未分配利润|五、37|2,918,381,048.11|2,460,647,210.52
||||归属于母公司股东权益合计||5,754,822,167.62|5,257,001,543.60
||||少数股东权益||559,815,255.65|208,039,925.99
||||股东权益合计||6,314,637,423.27|5,465,041,469.59
资产总计||12,249,773,080.69|11,056,666,125.68|负债和股东权益总计||12,249,773,080.69|11,056,666,125.68
