page|87
项 　　目|附注|2019年度|2018年度
一、营业总收入||6,181,534,697.03|5,947,277,275.84
其中：营业收入|五、38|5,631,027,316.10|5,759,682,039.35
利息收入|五、39|436,470,900.74|97,784,002.01
手续费及佣金收入|五、40|114,036,480.19|89,811,234.48
二、营业总成本||5,268,440,516.04|5,277,171,570.81
其中：营业成本|五、38|3,743,397,555.79|4,078,157,308.34
利息支出|五、39|41,655,381.44|340,322.53
手续费及佣金支出|五、40|63,999,088.44|20,655,553.26
税金及附加|五、41|45,499,759.88|50,601,829.66
销售费用|五、42|244,372,719.51|218,723,309.36
管理费用|五、43|547,017,452.74|437,956,127.38
研发费用|五、44|610,573,982.69|460,266,392.81
财务费用|五、45|-28,075,424.45|10,470,727.47
其中:利息费用||13,673,028.90|38,322,923.05
利息收入||45,711,796.78|33,240,722.32
加：其他收益|五、46|90,530,239.34|69,499,980.38
投资收益（损失以“-”号填列）|五、47|39,216,380.80|39,121,339.39
其中：对联营企业和合营企业的投资收益||5,298,063.90|2,376,357.74
以摊余成本计量的金融资产终止确认收益|||不适用
净敞口套期收益（损失以“-”号填列）|||不适用
公允价值变动收益（损失以“-”号填列）|五、48|24,477,664.81|-
信用减值损失（损失以“-”号填列）|五、49|-260,458,877.00|不适用
资产减值损失（损失以“-”号填列）|五、50|-17,618,415.87|-90,013,554.36
资产处置收益（损失以“-”号填列）|五、51|751,090.83|83,991.80
三、营业利润（亏损以“-”号填列）||789,992,263.90|688,797,462.24
加：营业外收入|五、52|1,651,107.65|4,140,938.79
减：营业外支出|五、53|5,622,561.36|20,137,941.09
四、利润总额（亏损总额以“-”号填列）||786,020,810.19|672,800,459.94
减：所得税费用|五、54|63,188,889.30|67,013,854.81
五、净利润（净亏损以“-”号填列）||722,831,920.89|605,786,605.13
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||722,831,920.89|605,786,605.13
2.终止经营净利润（净亏损以“-”号填列）|||-
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||691,278,827.56|585,836,541.95
2.少数股东损益（净亏损以“-”号填列）||31,553,093.33|19,950,063.18
六、其他综合收益的税后净额||606,331.36|-95,701,334.40
（一）归属于母公司所有者的其他综合收益的税后净额||550,394.02|-96,049,524.15
1. 不能重分类进损益的其他综合收益||-|-
2. 将重分类进损益的其他综合收益||550,394.02|-96,049,524.15
（1）可供出售金融资产公允价值变动损益||不适用|-97,300,541.25
（2）外币财务报表折算差额||550,394.02|1,251,017.10
（二）归属于少数股东的其他综合收益的税后净额||55,937.34|348,189.75
七、综合收益总额||723,438,252.25|510,085,270.73
（一）归属于母公司所有者的综合收益总额||691,829,221.58|489,787,017.80
（二）归属于少数股东的综合收益总额||31,609,030.67|20,298,252.93
八、每股收益|||
（一）基本每股收益（元/股）||0.6702|0.5796
（二）稀释每股收益（元/股）||0.6614|0.5793
