page|83
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,099,404,766.59|4,448,611,152.91
收到的税费返还||-|4,456,323.70
收到其他与经营活动有关的现金||525,408,330.58|408,789,146.30
经营活动现金流入小计||8,624,813,097.17|4,861,856,622.91
购买商品、接受劳务支付的现金||4,655,490,266.98|2,379,428,567.25
支付给职工及为职工支付的现金||551,082,829.16|585,624,913.63
支付的各项税费||786,973,453.98|473,925,483.80
支付其他与经营活动有关的现金||598,184,039.29|594,089,396.28
经营活动现金流出小计||6,591,730,589.41|4,033,068,360.96
经营活动产生的现金流量净额||2,033,082,507.76|828,788,261.95
二、投资活动产生的现金流量：|||
收回投资收到的现金||6,124,327,288.57|13,116,015,960.26
取得投资收益收到的现金||325,898,607.79|297,606,559.61
处置固定资产、无形资产和其他长期资产收回的现金净额||44,446,864.25|10,313,579.94
处置子公司及其他营业单位收到的现金净额||-|192,466,418.65
收到其他与投资活动有关的现金||3,746,899,831.00|4,450,486,259.27
投资活动现金流入小计||10,241,572,591.61|18,066,888,777.73
购建固定资产、无形资产和其他长期资产支付的现金||2,042,626,824.44|1,212,154,493.64
投资支付的现金||4,915,716,783.24|13,865,803,003.64
支付其他与投资活动有关的现金||1,632,462,005.00|2,352,817,932.28
投资活动现金流出小计||8,590,805,612.68|17,430,775,429.56
投资活动产生的现金流量净额||1,650,766,978.93|636,113,348.17
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||13,992,600.00|156,298,000.00
其中：子公司吸收少数股东投资收到的现金||8,400,000.00|19,000,000.00
取得借款收到的现金||12,319,250,000.00|13,142,000,000.00
筹资活动现金流入小计||12,333,242,600.00|13,298,298,000.00
偿还债务支付的现金||13,344,000,000.00|15,552,228,773.17
分配股利、利润或偿付利息支付的现金||650,819,017.71|537,445,865.52
其中：子公司支付给少数股东的股利、利润||-|114,400.00
支付其他与筹资活动有关的现金||40,358,783.07|64,460,000.00
筹资活动现金流出小计||14,035,177,800.78|16,154,134,638.69
筹资活动产生的现金流量净额||-1,701,935,200.78|-2,855,836,638.69
四、汇率变动对现金及现金等价物的影响||-8,088,832.07|-3,134,649.06
五、现金及现金等价物净增加额||1,973,825,453.84|-1,394,069,677.63
加：期初现金及现金等价物余额||2,032,642,871.63|3,426,712,549.26
六、期末现金及现金等价物余额||4,006,468,325.47|2,032,642,871.63
