page|74
项目|附注|2020 年度|2019 年度
一、营业总收入||8,824,448,386.89|9,265,430,253.72
其中：营业收入|七、61|8,824,448,386.89|9,265,430,253.72
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,487,401,143.54|8,622,216,635.62
其中：营业成本|七、61|7,504,200,693.15|7,814,626,230.19
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|75,518,833.58|80,762,865.38
销售费用|七、63|189,221,472.20|251,857,676.68
管理费用|七、64|524,342,738.88|305,986,287.64
研发费用|七、65|289,022,976.12|264,840,091.30
财务费用|七、66|-94,905,570.39|-95,856,515.57
其中：利息费用||41,305,208.12|94,697,061.25
利息收入||182,891,602.72|204,019,033.39
加：其他收益|七、67|167,246,359.60|131,267,588.84
投资收益（损失以“－”号填列）|七、68|96,828,804.83|16,693,699.46
其中：对联营企业和合营企业的投资收益||3,207,407.73|1,540,007.22
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号|七、70|-571,678.80|-13,309.52
page|75
填列）|||
|信用减值损失（损失以“-”号填列）  七、71|-71,755,196.94|-90,435,583.70
|资产减值损失（损失以“-”号填列）  七、72|-108,042,784.25|-140,846,073.13
|资产处置收益（损失以“－”号填列）  七、73|18,105,521.43|3,927,018.26
三、营业利润（亏损以“－”号填列）||438,858,269.22|563,806,958.31
加：营业外收入|七、74|30,898,909.31|109,097,051.51
减：营业外支出|七、75|15,235,594.41|30,198,583.82
四、利润总额（亏损总额以“－”号填列）||454,521,584.12|642,705,426.00
减：所得税费用|七、76|101,958,189.70|127,466,490.85
五、净利润（净亏损以“－”号填列）||352,563,394.42|515,238,935.15
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||352,563,394.42|515,238,935.15
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||337,212,903.02|498,426,771.55
2.少数股东损益（净亏损以“-”号填列）||15,350,491.40|16,812,163.60
六、其他综合收益的税后净额||-163,557,904.28|100,564,340.64
（一）归属母公司所有者的其他综合收益的税后净额||-150,169,340.38|85,680,176.70
1．不能重分类进损益的其他综合收益||-4,945,533.47|55,917,711.76
（1）重新计量设定受益计划变动额||1,982,250.00|120,000.00
（2）权益法下不能转损益的其他综合收益|||0.00
（3）其他权益工具投资公允价值变动||-6,927,783.47|55,797,711.76
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-145,223,806.91|29,762,464.94
（1）权益法下可转损益的其他综合收益||-143,568.24|-11,021.54
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-145,080,238.67|29,773,486.48
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-13,388,563.9|14,884,163.94
七、综合收益总额||189,005,490.14|615,803,275.79
（一）归属于母公司所有者的综合收益总额||187,043,562.64|584,106,948.25
（二）归属于少数股东的综合收益总额||1,961,927.50|31,696,327.54
八、每股收益：|||
（一）基本每股收益(元/股)||0.0464|0.0686
（二）稀释每股收益(元/股)||0.0464|0.0686
