page|204
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,211,161,837.17|1,233,218,142.77
客户存款和同业存放款项净增加额||-|-
向中央银行借款净增加额||-|-
向其他金融机构拆入资金净增加额||-|-
page|205
收到原保险合同保费取得的现金||-|-
收到再保业务现金净额||-|-
保户储金及投资款净增加额||-|-
收取利息、手续费及佣金的现金||-|-
拆入资金净增加额||-|-
回购业务资金净增加额||-|-
代理买卖证券收到的现金净额||-|-
收到的税费返还||12,545,037.82|1,119,276.39
收到其他与经营活动有关的现金|78|86,761,818.55|81,543,319.93
经营活动现金流入小计||1,310,468,693.54|1,315,880,739.09
购买商品、接受劳务支付的现金||970,491,718.68|918,847,748.04
客户贷款及垫款净增加额||-|-
存放中央银行和同业款项净增加额||-|-
支付原保险合同赔付款项的现金||-|-
拆出资金净增加额||-|-
支付利息、手续费及佣金的现金||-|-
支付保单红利的现金||-|-
支付给职工及为职工支付的现金||367,131,275.19|330,041,371.39
支付的各项税费||27,025,370.73|39,845,130.85
支付其他与经营活动有关的现金|78|142,727,491.96|171,238,039.46
经营活动现金流出小计||1,507,375,856.56|1,459,972,289.74
经营活动产生的现金流量净额|79|-196,907,163.02|-144,091,550.65
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,678,400,844.79|482,516,325.46
取得投资收益收到的现金||20,409,693.07|8,830,906.73
page|206
处置固定资产、无形资产和其他长期资产收回的现金净额||2,792,321.48|1,583,724.61
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||1,701,602,859.34|492,930,956.80
购建固定资产、无形资产和其他长期资产支付的现金||29,616,390.81|16,740,933.39
投资支付的现金||1,358,636,822.28|1,126,809,754.54
质押贷款净增加额||-|-
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||1,388,253,213.09|1,143,550,687.93
投资活动产生的现金流量净额||313,349,646.25|-650,619,731.13
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|768,637,176.02
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||634,968,163.23|522,954,458.39
收到其他与筹资活动有关的现金|78|38,140,000.00|-
筹资活动现金流入小计||673,108,163.23|1,291,591,634.41
偿还债务支付的现金||607,138,443.83|341,016,420.34
分配股利、利润或偿付利息支付的现金||16,508,383.91|19,882,433.96
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|78|12,873,020.37|41,031,299.73
筹资活动现金流出小计||636,519,848.11|401,930,154.03
筹资活动产生的现金流量净额||36,588,315.12|889,661,480.38
page|207
四、汇率变动对现金及现金等价物的影响||-16,158,479.62|4,868,788.87
五、现金及现金等价物净增加额||136,872,318.73|99,818,987.47
加：期初现金及现金等价物余额||284,385,755.53|184,566,768.06
六、期末现金及现金等价物余额|79|421,258,074.26|284,385,755.53
